tipo_celular,module_size,PKNOX2_MM,PKNOX2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.345,94.0,58,1,1.72,0.87 (NA-NA),57,98.28,4.24 (3.83-4.65)
oligodendrocyte progenitor cells 7,4285.0,0.141,60.0,353,40,11.33,1.72 (1.45-1.98),313,88.67,4.26 (4.09-4.44)
GABA neurons expressing GLU receptors 22,203.0,0.219,34.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1247.0,0.152,63.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,191.0,0.169,30.0,93,0,0.0,NA,93,100.0,5.65 (5.25-6.05)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.28,81.0,306,5,1.63,0.97 (0.42-1.52),301,98.37,5.19 (4.94-5.45)
astrocytes 8,1266.0,0.074,42.0,66,12,18.18,1.48 (0.82-2.14),54,81.82,3.69 (3.29-4.10)
oligodendrocyte progenitor cells 12,218.0,0.132,33.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.274,42.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,1401.0,0.144,88.0,96,1,1.04,1.85 (NA-NA),95,98.96,3.64 (3.18-4.09)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,57.0,0.303,43.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.121,8.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
