tipo_celular,module_size,EIF3F_MM,EIF3F_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.151,48.0,71,5,7.04,2.10 (0.69-3.51),66,92.96,2.66 (2.23-3.09)
T cells 18,506.0,0.212,59.0,225,24,10.67,2.89 (2.29-3.50),201,89.33,3.73 (3.46-4.00)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.133,47.0,353,34,9.63,2.32 (1.80-2.84),319,90.37,4.09 (3.91-4.28)
GABA neurons expressing GLU receptors 22,567.0,0.173,43.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.187,44.0,302,3,0.99,1.08 (0.19-1.96),299,99.01,4.02 (3.80-4.25)
oligodendrocytes 20,253.0,0.187,64.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402.0,0.161,28.0,455,32,7.03,2.74 (2.16-3.31),423,92.97,4.51 (4.32-4.70)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.114,62.0,235,11,4.68,3.24 (2.62-3.87),224,95.32,3.86 (3.62-4.10)
oligodendrocytes 10,483.0,0.224,75.0,129,12,9.3,3.63 (3.06-4.20),117,90.7,3.40 (2.96-3.84)
connective tissue cells 21,301.0,0.343,43.0,158,11,6.96,2.85 (1.81-3.89),147,93.04,4.41 (4.04-4.79)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,65.0,0.231,68.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.298,46.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.107,36.0,238,13,5.46,3.68 (2.62-4.75),225,94.54,3.63 (3.41-3.86)
microglia 1,406.0,0.138,32.0,278,8,2.88,4.20 (3.37-5.02),270,97.12,4.37 (4.09-4.65)
oligodendrocytes 3,1003.0,0.039,2.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.138,43.0,154,10,6.49,4.08 (2.48-5.69),144,93.51,3.20 (2.93-3.46)
