tipo_celular,module_size,PMEPA1_MM,PMEPA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.244,70.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.092,9.0,80,5,6.25,4.24 (2.61-5.86),75,93.75,3.34 (2.84-3.83)
oligodendrocyte progenitor cells 7,4285.0,0.115,22.0,353,18,5.1,1.87 (1.19-2.55),335,94.9,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,487.0,0.29,74.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,94.0,0.073,11.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,238.0,0.167,53.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,586.0,0.406,82.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.187,37.0,455,22,4.84,2.34 (1.63-3.06),433,95.16,4.46 (4.28-4.65)
astrocytes 8,577.0,0.05,18.0,83,3,3.61,3.31 (0.92-5.70),80,96.39,3.25 (2.79-3.71)
oligodendrocyte progenitor cells 12,1049.0,0.1,55.0,235,6,2.55,3.11 (2.34-3.88),229,97.45,3.85 (3.61-4.09)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,91.0,0.287,47.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,443.0,0.126,31.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.116,66.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,101.0,0.305,40.0,6,1,16.67,5.62 (NA-NA),5,83.33,3.59 (3.46-3.72)
astrocytes 4,514.0,0.137,18.0,95,6,6.32,1.77 (0.50-3.04),89,93.68,3.49 (3.06-3.92)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.102,38.0,161,11,6.83,1.16 (0.42-1.90),150,93.17,3.46 (3.20-3.72)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
