tipo_celular,module_size,PHGDH_MM,PHGDH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.079,7.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628.0,0.122,18.0,164,7,4.27,4.71 (4.03-5.39),157,95.73,4.05 (3.71-4.39)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.328,96.0,169,9,5.33,3.97 (3.42-4.52),160,94.67,3.47 (3.24-3.69)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.062,37.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,1049.0,0.127,67.0,235,9,3.83,3.97 (3.42-4.52),226,96.17,3.82 (3.58-4.06)
oligodendrocytes 10,1277.0,0.137,67.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.072,36.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,69.0,0.31,96.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,140.0,0.272,25.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.112,6.0,104,1,0.96,2.53 (NA-NA),103,99.04,2.87 (2.58-3.15)
oligodendrocytes 0,546.0,0.215,72.0,252,14,5.56,2.39 (1.21-3.58),238,94.44,4.17 (3.92-4.42)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.106,61.0,87,2,2.3,2.02 (-0.92-4.96),85,97.7,2.60 (2.32-2.87)
oligodendrocytes 2,526.0,0.379,80.0,213,2,0.94,4.47 (NA-NA),211,99.06,3.98 (3.70-4.25)
