tipo_celular,module_size,WDFY2_MM,WDFY2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.363,95.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,518.0,0.16,55.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,118.0,0.258,83.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,666.0,0.147,34.0,127,15,11.81,3.45 (2.56-4.33),112,88.19,3.91 (3.55-4.28)
GABA neurons expressing GLU receptors 22,567.0,0.155,33.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,380.0,0.219,82.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,408.0,0.121,31.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.202,47.0,74,2,2.7,3.95 (2.83-5.06),72,97.3,5.53 (4.96-6.10)
oligodendrocytes 20,295.0,0.176,45.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.202,93.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,279.0,0.278,49.0,78,5,6.41,2.56 (1.97-3.15),73,93.59,4.46 (4.03-4.88)
oligodendrocyte progenitor cells 12,218.0,0.286,57.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,130.0,0.499,69.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,250.0,0.311,52.0,117,3,2.56,2.95 (2.58-3.31),114,97.44,5.46 (5.06-5.86)
astrocytes 15,208.0,0.492,90.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,153.0,0.15,8.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,134.0,0.216,7.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,161.0,0.116,11.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,1186.0,0.136,34.0,300,1,0.33,4.52 (NA-NA),299,99.67,3.79 (3.58-4.00)
microglia 1,1615.0,0.161,93.0,161,19,11.8,1.35 (0.91-1.80),142,88.2,3.60 (3.33-3.86)
oligodendrocytes 3,44.0,0.242,49.0,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,237.0,0.217,52.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
