tipo_celular,module_size,FNDC3B_MM,FNDC3B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.313,95.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,393.0,0.126,31.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,322.0,0.156,45.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,448.0,0.116,31.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,599.0,0.402,97.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,685.0,0.265,87.0,135,4,2.96,1.64 (0.53-2.75),131,97.04,3.25 (2.94-3.56)
da like neurons 11,289.0,0.212,64.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.243,98.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,330.0,0.272,82.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,3052.0,0.112,27.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,354.0,0.256,97.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,138.0,0.409,22.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,2107.0,0.531,100.0,358,5,1.4,1.70 (0.83-2.57),353,98.6,3.90 (3.71-4.09)
connective tissue cells 21,147.0,0.393,98.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,268.0,0.139,67.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,96.0,0.146,11.0,102,3,2.94,2.00 (0.80-3.21),99,97.06,3.39 (3.05-3.73)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,67.0,0.226,10.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255.0,0.156,36.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,1186.0,0.141,44.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,813.0,0.169,86.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.111,73.0,76,2,2.63,1.39 (1.08-1.71),74,97.37,2.82 (2.49-3.15)
oligodendrocytes 2,804.0,0.138,33.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
