tipo_celular,module_size,UROS_MM,UROS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.087,11.0,136,1,0.74,1.32 (NA-NA),135,99.26,3.22 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.101,10.0,353,12,3.4,1.11 (0.52-1.69),341,96.6,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,848.0,0.256,66.0,262,2,0.76,0.51 (-0.09-1.11),260,99.24,4.20 (3.95-4.44)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.134,31.0,410,2,0.49,2.62 (1.05-4.19),408,99.51,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,417.0,0.126,23.0,213,9,4.23,0.70 (0.35-1.05),204,95.77,3.93 (3.70-4.16)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,253.0,0.148,42.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402.0,0.234,52.0,455,9,1.98,0.78 (0.45-1.11),446,98.02,4.44 (4.26-4.62)
astrocytes 8,603.0,0.088,58.0,89,2,2.25,1.07 (0.58-1.56),87,97.75,2.81 (2.46-3.17)
oligodendrocyte progenitor cells 12,708.0,0.046,12.0,32,6,18.75,0.94 (-0.08-1.95),26,81.25,3.87 (3.06-4.69)
oligodendrocytes 10,806.0,0.13,40.0,261,1,0.38,1.82 (NA-NA),260,99.62,4.38 (4.14-4.62)
connective tissue cells 21,104.0,0.417,99.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,377.0,0.171,66.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,75.0,0.179,41.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.155,52.0,182,1,0.55,1.32 (NA-NA),181,99.45,3.65 (3.40-3.90)
astrocytes microglia 23,28.0,0.492,89.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.145,50.0,104,5,4.81,1.08 (0.29-1.87),99,95.19,2.96 (2.68-3.24)
oligodendrocytes 0,2078.0,0.093,12.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.069,20.0,345,0,0.0,NA,345,100.0,4.27 (4.06-4.48)
oligodendrocytes 2,526.0,0.134,10.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
