tipo_celular,module_size,ZNF483_MM,ZNF483_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.095,16.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12)
astrocytes 5,499.0,0.115,17.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,35,9.92,1.58 (1.32-1.84),318,90.08,4.23 (4.06-4.40)
GABA neurons expressing GLU receptors 22,848.0,0.298,75.0,262,4,1.53,0.70 (0.28-1.13),258,98.47,4.23 (3.99-4.47)
GLU like neurons 17,380.0,0.131,23.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,145.0,0.208,45.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,200.0,0.399,100.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,338.0,0.161,61.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,330.0,0.169,50.0,36,12,33.33,1.86 (1.62-2.11),24,66.67,1.95 (1.43-2.48)
GABA like neurons 14,2402.0,0.114,13.0,455,14,3.08,0.87 (0.64-1.09),441,96.92,4.50 (4.32-4.67)
astrocytes 8,520.0,0.09,37.0,288,1,0.35,0.55 (NA-NA),287,99.65,4.19 (3.99-4.39)
oligodendrocyte progenitor cells 12,3303.0,0.115,86.0,276,29,10.51,1.69 (1.48-1.90),247,89.49,3.84 (3.62-4.06)
oligodendrocytes 10,806.0,0.265,73.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,183.0,0.227,32.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,1768.0,0.051,15.0,105,12,11.43,1.14 (0.87-1.40),93,88.57,3.51 (3.17-3.84)
oligodendrocytes 16,87.0,0.197,55.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.299,96.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,94.0,0.371,70.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.144,37.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613.0,0.145,53.0,127,11,8.66,1.84 (1.61-2.06),116,91.34,3.24 (2.78-3.71)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.076,33.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,921.0,0.121,24.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90)
