tipo_celular,module_size,ECPAS_MM,ECPAS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.213,50.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,727,0.08,6.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141,0.132,51.0,166,12,7.23,1.89 (1.27-2.51),154,92.77,3.51 (3.25-3.77)
oligodendrocyte progenitor cells 7,4285,0.164,89.0,353,23,6.52,1.99 (1.40-2.59),330,93.48,4.05 (3.86-4.23)
GABA neurons expressing GLU receptors 22,400,0.133,14.0,24,6,25.0,0.51 (0.32-0.70),18,75.0,2.70 (2.26-3.14)
GLU like neurons 17,1316,0.129,55.0,101,1,0.99,3.38 (NA-NA),100,99.01,3.05 (2.69-3.40)
da like neurons 11,145,0.41,91.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,357,0.076,4.0,237,3,1.27,4.68 (3.39-5.97),234,98.73,4.40 (4.17-4.64)
endothelial cells 9,1653,0.16,74.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,295,0.232,68.0,28,1,3.57,3.78 (NA-NA),27,96.43,2.13 (1.67-2.59)
GABA like neurons 14,2090,0.063,2.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,771,0.066,23.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708,0.096,41.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,2107,0.119,38.0,358,20,5.59,1.70 (1.15-2.24),338,94.41,4.02 (3.83-4.21)
connective tissue cells 21,106,0.174,11.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1768,0.097,60.0,105,9,8.57,2.26 (1.57-2.94),96,91.43,3.31 (2.95-3.67)
oligodendrocytes 16,122,0.215,57.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,518,0.12,60.0,122,12,9.84,2.20 (1.34-3.05),110,90.16,4.25 (3.85-4.66)
astrocytes microglia 23,86,0.193,3.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
astrocytes 4,752,0.15,45.0,96,4,4.17,1.57 (1.57-1.57),92,95.83,3.34 (3.00-3.67)
oligodendrocytes 0,1186,0.164,81.0,300,2,0.67,4.52 (NA-NA),298,99.33,3.79 (3.58-4.00)
microglia 1,958,0.111,49.0,290,2,0.69,1.57 (1.57-1.57),288,99.31,3.83 (3.60-4.06)
oligodendrocytes 3,1003,0.11,63.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348,0.13,14.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52)
