tipo_celular,module_size,RNH1_MM,RNH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.102,12.0,225,21,9.33,3.08 (2.28-3.89),204,90.67,3.67 (3.41-3.93)
astrocytes 5,1656.0,0.116,50.0,136,3,2.21,1.40 (1.32-1.48),133,97.79,3.25 (2.98-3.53)
oligodendrocyte progenitor cells 7,628.0,0.154,41.0,164,4,2.44,3.47 (2.04-4.90),160,97.56,4.11 (3.77-4.44)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.123,26.0,410,13,3.17,3.18 (2.20-4.16),397,96.83,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,101.0,0.159,46.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,916.0,0.245,61.0,302,6,1.99,2.44 (1.15-3.73),296,98.01,4.02 (3.80-4.25)
oligodendrocytes 20,938.0,0.263,91.0,169,12,7.1,2.32 (1.23-3.40),157,92.9,3.55 (3.33-3.77)
GABA like neurons 14,2402.0,0.21,45.0,455,31,6.81,1.92 (1.43-2.42),424,93.19,4.56 (4.38-4.74)
astrocytes 8,771.0,0.107,44.0,48,4,8.33,4.47 (2.05-6.88),44,91.67,4.43 (3.62-5.23)
oligodendrocyte progenitor cells 12,708.0,0.136,61.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,735.0,0.118,62.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,301.0,0.413,59.0,158,5,3.16,2.56 (0.90-4.23),153,96.84,4.34 (3.96-4.71)
astrocytes 15,1768.0,0.067,30.0,105,23,21.9,2.10 (1.53-2.68),82,78.1,3.56 (3.19-3.92)
oligodendrocytes 16,85.0,0.162,17.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.09,18.0,182,3,1.65,1.40 (1.32-1.48),179,98.35,3.68 (3.43-3.93)
astrocytes microglia 23,61.0,0.378,79.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.153,66.0,104,22,21.15,1.70 (1.28-2.12),82,78.85,3.21 (2.91-3.51)
oligodendrocytes 0,546.0,0.237,76.0,252,28,11.11,1.89 (1.34-2.44),224,88.89,4.41 (4.17-4.65)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.119,84.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,526.0,0.398,83.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
