tipo_celular,module_size,KDM1A_MM,KDM1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172.0,0.101,13.0,140,3,2.14,4.24 (-0.16-8.65),137,97.86,4.51 (4.09-4.94)
T cells 18,388.0,0.044,1.0,84,11,13.1,2.65 (2.31-3.00),73,86.9,3.02 (2.65-3.39)
astrocytes 5,1656.0,0.135,81.0,136,7,5.15,1.58 (1.33-1.84),129,94.85,3.31 (3.03-3.59)
oligodendrocyte progenitor cells 7,4285.0,0.148,70.0,353,97,27.48,2.57 (2.33-2.82),256,72.52,4.57 (4.38-4.75)
GABA neurons expressing GLU receptors 22,1069.0,0.151,41.0,37,6,16.22,2.19 (1.75-2.64),31,83.78,2.15 (1.61-2.69)
GLU like neurons 17,685.0,0.081,16.0,135,61,45.19,3.12 (2.70-3.55),74,54.81,3.26 (2.81-3.71)
da like neurons 11,200.0,0.143,32.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.073,6.0,120,33,27.5,3.60 (3.20-4.00),87,72.5,5.07 (4.69-5.45)
oligodendrocytes 20,938.0,0.06,19.0,169,20,11.83,3.51 (2.70-4.33),149,88.17,3.48 (3.25-3.70)
GABA like neurons 14,3052.0,0.177,80.0,125,4,3.2,3.25 (2.91-3.59),121,96.8,3.36 (3.02-3.69)
astrocytes 8,771.0,0.027,2.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303.0,0.034,4.0,276,73,26.45,2.48 (2.22-2.73),203,73.55,4.07 (3.81-4.33)
oligodendrocytes 10,2107.0,0.194,67.0,358,117,32.68,2.72 (2.46-2.97),241,67.32,4.64 (4.44-4.83)
connective tissue cells 21,111.0,0.403,97.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,1768.0,0.133,84.0,105,32,30.48,2.16 (1.77-2.56),73,69.52,3.73 (3.32-4.14)
oligodendrocytes 16,75.0,0.182,44.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,518.0,0.119,59.0,122,21,17.21,2.51 (1.84-3.18),101,82.79,4.42 (4.00-4.84)
astrocytes microglia 23,101.0,0.305,41.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62)
astrocytes 4,1807.0,0.155,70.0,104,37,35.58,2.13 (1.77-2.50),67,64.42,3.32 (2.97-3.67)
oligodendrocytes 0,2078.0,0.117,56.0,238,37,15.55,3.08 (2.71-3.46),201,84.45,3.75 (3.50-4.00)
microglia 1,1615.0,0.104,42.0,161,83,51.55,2.62 (2.34-2.90),78,48.45,4.30 (3.91-4.70)
oligodendrocytes 3,743.0,0.081,49.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.15,67.0,154,5,3.25,3.23 (2.85-3.60),149,96.75,3.25 (2.97-3.52)
