tipo_celular,module_size,SCG3_MM,SCG3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.379,96.0,164,11,6.71,3.72 (2.71-4.73),153,93.29,4.11 (3.77-4.45)
GABA neurons expressing GLU receptors 22,487.0,0.294,75.0,73,1,1.37,1.55 (NA-NA),72,98.63,2.77 (2.39-3.16)
GLU like neurons 17,380.0,0.301,98.0,39,2,5.13,2.93 (0.60-5.26),37,94.87,2.97 (2.39-3.54)
da like neurons 11,1220.0,0.215,61.0,410,21,5.12,3.08 (2.59-3.56),389,94.88,4.31 (4.12-4.51)
GABA neurons expressing GABA receptors 13,357.0,0.263,84.0,237,5,2.11,5.36 (2.93-7.79),232,97.89,4.40 (4.16-4.63)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.665,98.0,455,32,7.03,2.35 (1.84-2.85),423,92.97,4.52 (4.34-4.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.273,90.0,235,10,4.26,3.30 (2.68-3.91),225,95.74,3.85 (3.61-4.09)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.243,86.0,235,11,4.68,2.70 (1.80-3.59),224,95.32,4.02 (3.77-4.28)
astrocytes microglia 23,99.0,0.311,49.0,3,1,33.33,1.74 (NA-NA),2,66.67,1.91 (0.04-3.78)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
