tipo_celular,module_size,RIMS1_MM,RIMS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.113,25.0,166,20,12.05,2.29 (1.66-2.92),146,87.95,3.56 (3.29-3.82)
oligodendrocyte progenitor cells 7,436.0,0.201,83.0,219,38,17.35,5.33 (4.76-5.90),181,82.65,5.18 (4.84-5.51)
GABA neurons expressing GLU receptors 22,192.0,0.203,77.0,55,2,3.64,2.29 (2.26-2.32),53,96.36,4.10 (3.68-4.52)
GLU like neurons 17,489.0,0.192,77.0,42,19,45.24,5.94 (5.26-6.63),23,54.76,6.08 (5.08-7.08)
da like neurons 11,191.0,0.425,79.0,93,39,41.94,5.27 (4.67-5.88),54,58.06,6.03 (5.52-6.53)
GABA neurons expressing GABA receptors 13,93.0,0.146,44.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.272,90.0,18,6,33.33,1.42 (0.43-2.41),12,66.67,2.11 (1.22-2.99)
GABA like neurons 14,1300.0,0.177,35.0,306,88,28.76,4.36 (3.89-4.84),218,71.24,5.51 (5.22-5.80)
astrocytes 8,262.0,0.14,51.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,254.0,0.437,89.0,37,21,56.76,3.93 (3.22-4.64),16,43.24,5.40 (4.63-6.16)
oligodendrocytes 10,806.0,0.218,67.0,261,30,11.49,4.79 (4.01-5.57),231,88.51,4.30 (4.05-4.55)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.107,69.0,105,14,13.33,1.48 (1.08-1.89),91,86.67,3.50 (3.16-3.85)
oligodendrocytes 16,123.0,0.291,91.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,307.0,0.134,62.0,95,18,18.95,5.28 (4.70-5.86),77,81.05,4.71 (4.18-5.25)
astrocytes microglia 23,122.0,0.248,33.0,46,6,13.04,5.21 (4.85-5.57),40,86.96,5.00 (4.35-5.65)
astrocytes 4,201.0,0.328,95.0,18,10,55.56,4.02 (2.91-5.13),8,44.44,5.41 (4.12-6.69)
oligodendrocytes 0,309.0,0.13,44.0,30,6,20.0,5.49 (5.16-5.82),24,80.0,6.26 (5.51-7.02)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.079,35.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,347.0,0.205,56.0,15,7,46.67,6.09 (NA-NA),8,53.33,4.62 (3.89-5.35)
