tipo_celular,module_size,LITAF_MM,LITAF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.263,76.0,102,30,29.41,2.26 (1.88-2.63),72,70.59,4.06 (3.62-4.49)
T cells 18,393.0,0.371,93.0,59,5,8.47,3.65 (3.18-4.13),54,91.53,3.05 (2.50-3.60)
astrocytes 5,423.0,0.157,55.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.129,41.0,353,53,15.01,2.01 (1.74-2.28),300,84.99,4.34 (4.17-4.52)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.135,30.0,141,11,7.8,1.99 (1.35-2.64),130,92.2,3.03 (2.78-3.27)
oligodendrocytes 20,298.0,0.134,48.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.089,36.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.146,65.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,483.0,0.117,49.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,111.0,0.417,98.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,458.0,0.077,39.0,36,2,5.56,3.95 (2.83-5.06),34,94.44,3.75 (2.56-4.94)
oligodendrocytes 16,116.0,0.18,35.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.381,83.0,6,3,50.0,4.63 (2.71-6.56),3,50.0,3.52 (NA-NA)
astrocytes 4,514.0,0.187,53.0,95,9,9.47,2.74 (1.29-4.19),86,90.53,3.45 (3.01-3.88)
oligodendrocytes 0,2078.0,0.099,20.0,238,14,5.88,2.40 (1.99-2.80),224,94.12,3.73 (3.50-3.96)
microglia 1,480.0,0.272,80.0,163,18,11.04,4.02 (3.29-4.75),145,88.96,3.67 (3.38-3.95)
oligodendrocytes 3,639.0,0.073,28.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,528.0,0.147,18.0,175,21,12.0,3.61 (3.12-4.10),154,88.0,4.54 (4.14-4.94)
