tipo_celular,module_size,CPNE3_MM,CPNE3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,624.0,0.117,22.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.117,53.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.154,78.0,353,35,9.92,2.22 (1.77-2.67),318,90.08,4.13 (3.94-4.31)
GABA neurons expressing GLU receptors 22,823.0,0.178,50.0,23,4,17.39,4.06 (3.48-4.64),19,82.61,1.92 (1.17-2.67)
GLU like neurons 17,795.0,0.087,22.0,80,4,5.0,3.30 (2.43-4.17),76,95.0,5.86 (5.46-6.26)
da like neurons 11,197.0,0.244,59.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.077,11.0,155,2,1.29,NA,153,98.71,4.34 (3.97-4.70)
oligodendrocytes 20,295.0,0.196,52.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.158,66.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.044,12.0,83,4,4.82,3.11 (1.38-4.85),79,95.18,3.26 (2.79-3.73)
oligodendrocyte progenitor cells 12,3303.0,0.099,73.0,276,25,9.06,2.44 (1.98-2.89),251,90.94,3.69 (3.46-3.92)
oligodendrocytes 10,483.0,0.032,3.0,129,5,3.88,4.31 (3.88-4.73),124,96.12,3.40 (3.00-3.80)
connective tissue cells 21,118.0,0.361,83.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,1401.0,0.046,14.0,96,9,9.38,2.83 (1.81-3.85),87,90.62,3.69 (3.21-4.17)
oligodendrocytes 16,74.0,0.161,25.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,95.0,0.479,100.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56)
astrocytes 4,1807.0,0.144,49.0,104,17,16.35,2.07 (1.58-2.56),87,83.65,3.03 (2.72-3.35)
oligodendrocytes 0,2078.0,0.111,43.0,238,4,1.68,2.16 (0.85-3.47),234,98.32,3.67 (3.44-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.071,23.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.156,79.0,154,2,1.3,3.11 (0.58-5.64),152,98.7,3.25 (2.98-3.51)
