tipo_celular,module_size,PHF2_MM,PHF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.094,10.0,71,12,16.9,2.60 (1.68-3.53),59,83.1,2.63 (2.16-3.09)
T cells 18,388.0,0.121,33.0,84,8,9.52,2.41 (2.26-2.55),76,90.48,3.04 (2.68-3.40)
astrocytes 5,1656.0,0.08,6.0,136,5,3.68,1.66 (1.34-1.98),131,96.32,3.28 (3.00-3.55)
oligodendrocyte progenitor cells 7,4285.0,0.139,55.0,353,65,18.41,2.34 (2.04-2.64),288,81.59,4.36 (4.17-4.54)
GABA neurons expressing GLU receptors 22,1069.0,0.076,4.0,37,7,18.92,2.69 (1.65-3.72),30,81.08,2.03 (1.53-2.53)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.045,1.0,141,10,7.09,2.47 (1.61-3.33),131,92.91,3.00 (2.75-3.25)
oligodendrocytes 20,322.0,0.08,30.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090.0,0.137,37.0,74,19,25.68,2.60 (2.16-3.05),55,74.32,3.06 (2.58-3.55)
astrocytes 8,577.0,0.041,10.0,83,6,7.23,2.22 (1.54-2.89),77,92.77,3.35 (2.87-3.83)
oligodendrocyte progenitor cells 12,3303.0,0.086,59.0,276,53,19.2,2.32 (2.03-2.61),223,80.8,3.91 (3.67-4.16)
oligodendrocytes 10,1277.0,0.086,35.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,90.0,0.263,32.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA
astrocytes 15,1401.0,0.063,28.0,96,10,10.42,2.63 (1.98-3.28),86,89.58,3.75 (3.26-4.25)
oligodendrocytes 16,86.0,0.098,3.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,62.0,0.283,33.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.158,75.0,104,29,27.88,2.09 (1.67-2.51),75,72.12,3.19 (2.86-3.52)
oligodendrocytes 0,2078.0,0.125,72.0,238,25,10.5,3.18 (2.62-3.74),213,89.5,3.70 (3.46-3.94)
microglia 1,1615.0,0.07,4.0,161,59,36.65,2.33 (2.03-2.64),102,63.35,4.01 (3.68-4.34)
oligodendrocytes 3,854.0,0.062,17.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14)
oligodendrocytes 2,1630.0,0.137,40.0,154,2,1.3,3.56 (1.90-5.21),152,98.7,3.24 (2.97-3.51)
