tipo_celular,module_size,CEP63_MM,CEP63_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.147,43.0,71,5,7.04,2.62 (0.95-4.29),66,92.96,2.62 (2.19-3.05)
T cells 18,727.0,0.115,28.0,49,5,10.2,4.57 (3.62-5.52),44,89.8,2.22 (1.85-2.59)
astrocytes 5,1656.0,0.121,60.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.153,76.0,353,42,11.9,2.42 (1.99-2.85),311,88.1,4.14 (3.95-4.32)
GABA neurons expressing GLU receptors 22,714.0,0.069,2.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,229.0,0.355,99.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,289.0,0.21,63.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.078,8.0,74,4,5.41,3.91 (2.44-5.37),70,94.59,5.60 (5.03-6.18)
oligodendrocytes 20,938.0,0.036,7.0,169,16,9.47,3.77 (2.81-4.74),153,90.53,3.45 (3.23-3.66)
GABA like neurons 14,3052.0,0.152,61.0,125,7,5.6,3.60 (2.88-4.33),118,94.4,3.34 (3.01-3.68)
astrocytes 8,354.0,0.108,44.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708.0,0.047,14.0,32,8,25.0,1.67 (0.81-2.52),24,75.0,3.88 (2.92-4.83)
oligodendrocytes 10,2107.0,0.099,28.0,358,48,13.41,2.41 (1.99-2.84),310,86.59,4.15 (3.95-4.34)
connective tissue cells 21,92.0,0.399,92.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,377.0,0.135,37.0,14,6,42.86,3.57 (1.46-5.68),8,57.14,1.18 (0.12-2.24)
oligodendrocytes 16,87.0,0.243,84.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,45.0,0.286,39.0,8,0,0.0,NA,8,100.0,NA
astrocytes 4,787.0,0.169,81.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,1186.0,0.121,18.0,300,9,3.0,3.22 (2.77-3.66),291,97.0,3.81 (3.60-4.02)
microglia 1,1615.0,0.103,40.0,161,28,17.39,2.32 (1.72-2.91),133,82.61,3.51 (3.22-3.79)
oligodendrocytes 3,854.0,0.078,35.0,76,4,5.26,2.11 (0.24-3.98),72,94.74,2.81 (2.48-3.14)
oligodendrocytes 2,921.0,0.114,16.0,200,6,3.0,2.71 (2.33-3.08),194,97.0,3.65 (3.38-3.92)
