tipo_celular,module_size,SNX3_MM,SNX3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.175,60.0,97,2,2.06,4.01 (1.75-6.27),95,97.94,3.03 (2.63-3.43)
T cells 18,393,0.14,42.0,59,5,8.47,3.47 (2.92-4.02),54,91.53,3.07 (2.52-3.62)
astrocytes 5,423,0.118,27.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666,0.272,89.0,127,26,20.47,2.98 (2.33-3.63),101,79.53,4.12 (3.75-4.50)
GABA neurons expressing GLU receptors 22,848,0.143,20.0,262,54,20.61,4.16 (3.66-4.66),208,79.39,4.16 (3.87-4.44)
GLU like neurons 17,1316,0.172,85.0,101,2,1.98,3.33 (3.24-3.42),99,98.02,3.04 (2.69-3.40)
da like neurons 11,89,0.243,49.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,417,0.173,57.0,213,27,12.68,1.92 (1.29-2.55),186,87.32,4.06 (3.83-4.29)
endothelial cells 9,385,0.194,91.0,275,42,15.27,2.47 (1.99-2.96),233,84.73,4.31 (4.04-4.58)
oligodendrocytes 20,938,0.169,70.0,169,31,18.34,3.21 (2.73-3.69),138,81.66,3.54 (3.30-3.79)
GABA like neurons 14,2402,0.345,73.0,455,61,13.41,3.47 (2.98-3.95),394,86.59,4.53 (4.33-4.72)
astrocytes 8,262,0.096,28.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,1049,0.104,57.0,235,13,5.53,3.56 (2.87-4.25),222,94.47,3.84 (3.60-4.08)
oligodendrocytes 10,483,0.114,48.0,129,4,3.1,4.34 (3.78-4.90),125,96.9,3.39 (2.99-3.80)
connective tissue cells 21,139,0.27,29.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,1401,0.058,24.0,96,18,18.75,4.30 (3.41-5.19),78,81.25,3.41 (2.90-3.92)
oligodendrocytes 16,123,0.197,36.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,729,0.157,52.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,327,0.318,44.0,120,47,39.17,2.58 (2.24-2.92),73,60.83,4.37 (4.02-4.72)
astrocytes 4,514,0.195,57.0,95,8,8.42,2.96 (1.27-4.65),87,91.58,3.42 (2.99-3.85)
oligodendrocytes 0,613,0.184,82.0,127,12,9.45,2.81 (2.25-3.36),115,90.55,3.09 (2.62-3.57)
microglia 1,958,0.16,93.0,290,27,9.31,3.13 (2.54-3.73),263,90.69,3.90 (3.66-4.15)
oligodendrocytes 3,457,0.077,26.0,345,54,15.65,3.75 (3.34-4.16),291,84.35,4.40 (4.17-4.64)
oligodendrocytes 2,528,0.222,61.0,175,30,17.14,3.81 (3.26-4.36),145,82.86,4.54 (4.13-4.96)
