tipo_celular,module_size,ARMC10_MM,ARMC10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.1,21.0,241,1,0.41,1.82 (NA-NA),240,99.59,4.07 (3.82-4.32)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.13,42.0,353,13,3.68,1.16 (0.65-1.67),340,96.32,4.03 (3.85-4.20)
GABA neurons expressing GLU receptors 22,1069.0,0.151,40.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,109.0,0.089,4.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.053,4.0,275,20,7.27,2.78 (1.81-3.74),255,92.73,4.08 (3.82-4.35)
oligodendrocytes 20,938.0,0.079,27.0,169,7,4.14,2.54 (1.19-3.90),162,95.86,3.53 (3.31-3.75)
GABA like neurons 14,2402.0,0.214,46.0,455,14,3.08,2.51 (1.00-4.03),441,96.92,4.42 (4.24-4.60)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.095,40.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,735.0,0.099,52.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,136.0,0.442,96.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,74.0,0.324,96.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.083,13.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,111.0,0.457,97.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.139,93.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.065,24.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55)
oligodendrocytes 2,1630.0,0.127,22.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52)
