tipo_celular,module_size,GRAMD1B_MM,GRAMD1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.186,51.0,102,2,1.96,2.22 (-0.26-4.70),100,98.04,3.53 (3.16-3.89)
T cells 18,624.0,0.281,98.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,156.0,0.152,58.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.09,23.0,219,1,0.46,5.64 (NA-NA),218,99.54,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,459.0,0.274,84.0,165,2,1.21,2.53 (2.34-2.73),163,98.79,5.11 (4.76-5.46)
GLU like neurons 17,1247.0,0.234,92.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,853.0,0.084,13.0,133,10,7.52,1.67 (0.71-2.64),123,92.48,3.41 (3.09-3.72)
GABA neurons expressing GABA receptors 13,77.0,0.248,90.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.225,59.0,306,9,2.94,1.91 (1.42-2.40),297,97.06,5.24 (4.98-5.49)
astrocytes 8,1266.0,0.186,94.0,66,7,10.61,0.72 (0.26-1.17),59,89.39,3.58 (3.19-3.96)
oligodendrocyte progenitor cells 12,143.0,0.444,60.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.063,26.0,105,12,11.43,2.49 (1.76-3.23),93,88.57,3.31 (2.95-3.68)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.094,24.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,327.0,0.173,5.0,120,12,10.0,2.46 (1.45-3.47),108,90.0,3.77 (3.47-4.08)
astrocytes 4,161.0,0.144,27.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.255,75.0,163,1,0.61,1.94 (NA-NA),162,99.39,3.72 (3.45-3.99)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
