tipo_celular,module_size,CLIC4_MM,CLIC4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.193,64.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.397,96.0,58,14,24.14,3.88 (3.02-4.74),44,75.86,4.29 (3.80-4.78)
oligodendrocyte progenitor cells 7,666.0,0.249,85.0,127,16,12.6,3.00 (1.93-4.08),111,87.4,3.97 (3.62-4.31)
GABA neurons expressing GLU receptors 22,567.0,0.271,77.0,16,3,18.75,2.91 (1.29-4.54),13,81.25,1.72 (1.02-2.41)
GLU like neurons 17,685.0,0.306,93.0,135,14,10.37,1.59 (1.08-2.11),121,89.63,3.34 (3.03-3.66)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.199,59.0,141,5,3.55,1.64 (0.66-2.62),136,96.45,3.01 (2.77-3.26)
oligodendrocytes 20,275.0,0.077,9.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.082,9.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67)
astrocytes 8,577.0,0.152,82.0,83,2,2.41,0.87 (NA-NA),81,97.59,3.29 (2.84-3.74)
oligodendrocyte progenitor cells 12,708.0,0.188,74.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,1277.0,0.196,89.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,84.0,0.228,37.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,1401.0,0.119,76.0,96,9,9.38,3.48 (2.29-4.68),87,90.62,3.63 (3.14-4.11)
oligodendrocytes 16,104.0,0.17,17.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,91.0,0.394,92.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,171.0,0.297,92.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,479.0,0.192,77.0,40,3,7.5,4.77 (4.70-4.83),37,92.5,5.98 (5.42-6.53)
microglia 1,480.0,0.207,58.0,163,9,5.52,4.68 (3.78-5.58),154,94.48,3.64 (3.37-3.92)
oligodendrocytes 3,1003.0,0.238,98.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.196,49.0,114,18,15.79,4.23 (3.74-4.72),96,84.21,5.37 (4.87-5.86)
