tipo_celular,module_size,ETF1_MM,ETF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.222,58.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,393.0,0.075,4.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.253,86.0,127,5,3.94,2.01 (0.66-3.37),122,96.06,3.94 (3.61-4.28)
GABA neurons expressing GLU receptors 22,567.0,0.151,32.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,108.0,0.155,32.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,101.0,0.203,81.0,3,1,33.33,NA,2,66.67,1.59 (0.34-2.85)
endothelial cells 9,385.0,0.153,81.0,275,40,14.55,2.21 (1.75-2.66),235,85.45,4.37 (4.11-4.64)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.177,34.0,455,30,6.59,2.26 (1.67-2.86),425,93.41,4.53 (4.35-4.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.111,83.0,276,30,10.87,2.02 (1.59-2.45),246,89.13,3.78 (3.56-4.01)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,125.0,0.297,51.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.046,1.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,327.0,0.51,92.0,120,12,10.0,1.51 (0.89-2.13),108,90.0,3.90 (3.62-4.19)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.252,74.0,163,1,0.61,3.41 (NA-NA),162,99.39,3.71 (3.44-3.98)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
