tipo_celular,module_size,RCC1L_MM,RCC1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.084,9.0,136,7,5.15,2.01 (0.98-3.03),129,94.85,3.28 (3.01-3.56)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,714.0,0.088,5.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,330.0,0.044,8.0,36,8,22.22,1.82 (1.49-2.15),28,77.78,1.95 (1.51-2.40)
GABA like neurons 14,2402.0,0.058,2.0,455,33,7.25,2.27 (1.64-2.90),422,92.75,4.57 (4.39-4.74)
astrocytes 8,283.0,0.065,17.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,806.0,0.053,8.0,261,8,3.07,2.03 (1.77-2.30),253,96.93,4.46 (4.22-4.71)
connective tissue cells 21,250.0,0.121,2.0,117,7,5.98,3.05 (1.84-4.25),110,94.02,5.58 (5.19-5.97)
astrocytes 15,1401.0,0.046,13.0,96,4,4.17,1.98 (1.78-2.18),92,95.83,3.70 (3.23-4.16)
oligodendrocytes 16,85.0,0.252,70.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,134.0,0.422,91.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,1807.0,0.119,11.0,104,15,14.42,1.55 (0.93-2.17),89,85.58,3.10 (2.82-3.39)
oligodendrocytes 0,2078.0,0.099,20.0,238,5,2.1,2.02 (1.11-2.92),233,97.9,3.68 (3.46-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,94.0,0.048,10.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,1630.0,0.141,47.0,154,4,2.6,2.35 (1.90-2.80),150,97.4,3.27 (3.00-3.54)
