tipo_celular,module_size,CENPP_MM,CENPP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.241,80.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.133,31.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.129,41.0,353,22,6.23,1.74 (1.21-2.28),331,93.77,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,714.0,0.172,46.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,795.0,0.106,35.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,145.0,0.333,80.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.231,54.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,233.0,0.67,98.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,1300.0,0.203,48.0,306,3,0.98,1.89 (0.01-3.77),303,99.02,5.14 (4.88-5.40)
astrocytes 8,771.0,0.155,56.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.112,49.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.382,97.0,358,24,6.7,1.85 (1.33-2.37),334,93.3,4.06 (3.87-4.25)
connective tissue cells 21,114.0,0.17,9.0,19,0,0.0,NA,19,100.0,4.90 (4.18-5.61)
astrocytes 15,1768.0,0.103,66.0,105,8,7.62,1.44 (0.84-2.04),97,92.38,3.37 (3.03-3.71)
oligodendrocytes 16,65.0,0.153,27.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,121.0,0.296,41.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,1807.0,0.085,1.0,104,11,10.58,1.70 (1.04-2.36),93,89.42,3.01 (2.72-3.30)
oligodendrocytes 0,1186.0,0.141,43.0,300,5,1.67,3.26 (2.50-4.02),295,98.33,3.80 (3.60-4.01)
microglia 1,1615.0,0.108,47.0,161,19,11.8,1.62 (1.05-2.18),142,88.2,3.55 (3.28-3.82)
oligodendrocytes 3,1003.0,0.115,68.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.166,66.0,84,3,3.57,0.65 (0.20-1.09),81,96.43,2.78 (2.45-3.12)
