tipo_celular,module_size,RNLS_MM,RNLS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.127,27.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.102,28.0,136,1,0.74,1.23 (NA-NA),135,99.26,3.23 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.125,34.0,353,10,2.83,2.24 (1.66-2.82),343,97.17,3.95 (3.76-4.14)
GABA neurons expressing GLU receptors 22,823.0,0.28,93.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,380.0,0.174,52.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,172.0,0.391,91.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.168,78.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,348.0,0.035,9.0,33,1,3.03,3.09 (NA-NA),32,96.97,2.72 (2.22-3.22)
GABA like neurons 14,3052.0,0.175,79.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.037,4.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.084,35.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,2107.0,0.115,36.0,358,7,1.96,1.49 (0.87-2.11),351,98.04,3.92 (3.73-4.12)
connective tissue cells 21,111.0,0.253,30.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.052,29.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,69.0,0.206,53.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.273,31.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.125,11.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,479.0,0.139,39.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,813.0,0.105,35.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,639.0,0.096,50.0,15,1,6.67,2.53 (NA-NA),14,93.33,3.38 (1.90-4.86)
oligodendrocytes 2,804.0,0.169,68.0,84,1,1.19,2.53 (NA-NA),83,98.81,2.69 (2.35-3.03)
