tipo_celular,module_size,PLXNA2_MM,PLXNA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.192,99.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,200.0,0.18,52.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,599.0,0.212,50.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1247.0,0.198,83.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,101.0,0.356,77.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.473,100.0,141,4,2.84,1.53 (0.29-2.76),137,97.16,3.01 (2.77-3.25)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.213,53.0,306,63,20.59,4.44 (3.83-5.06),243,79.41,5.33 (5.06-5.60)
astrocytes 8,1266.0,0.23,97.0,66,13,19.7,3.38 (2.42-4.33),53,80.3,3.18 (2.71-3.65)
oligodendrocyte progenitor cells 12,3303.0,0.092,67.0,276,6,2.17,1.21 (0.70-1.72),270,97.83,3.61 (3.39-3.83)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,139.0,0.305,49.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,443.0,0.098,11.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.284,46.0,46,4,8.7,6.55 (5.31-7.79),42,91.3,4.88 (4.29-5.46)
astrocytes 4,251.0,0.293,96.0,34,3,8.82,3.12 (1.75-4.49),31,91.18,5.54 (4.96-6.12)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
