tipo_celular,module_size,RAP2A_MM,RAP2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.211,75.0,97,2,2.06,2.69 (2.37-3.02),95,97.94,3.06 (2.66-3.47)
T cells 18,393.0,0.23,81.0,59,3,5.08,3.21 (2.41-4.00),56,94.92,3.10 (2.57-3.63)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.131,23.0,127,28,22.05,3.23 (2.72-3.73),99,77.95,4.12 (3.71-4.54)
GABA neurons expressing GLU receptors 22,599.0,0.194,41.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1316.0,0.075,10.0,101,4,3.96,2.94 (2.59-3.28),97,96.04,3.06 (2.69-3.43)
da like neurons 11,1220.0,0.106,18.0,410,40,9.76,3.13 (2.78-3.48),370,90.24,4.38 (4.18-4.58)
GABA neurons expressing GABA receptors 13,90.0,0.179,65.0,4,1,25.0,2.24 (NA-NA),3,75.0,6.38 (3.80-8.96)
endothelial cells 9,559.0,0.134,40.0,155,2,1.29,2.86 (NA-NA),153,98.71,4.35 (3.99-4.72)
oligodendrocytes 20,295.0,0.12,21.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2402.0,0.173,32.0,455,45,9.89,2.66 (2.15-3.18),410,90.11,4.55 (4.36-4.74)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.151,65.0,32,18,56.25,2.47 (1.57-3.37),14,43.75,4.64 (3.43-5.85)
oligodendrocytes 10,806.0,0.149,47.0,261,50,19.16,4.47 (3.88-5.07),211,80.84,4.33 (4.07-4.60)
connective tissue cells 21,84.0,0.295,73.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,156.0,0.181,38.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,553.0,0.197,84.0,124,8,6.45,3.11 (1.60-4.62),116,93.55,4.25 (3.84-4.65)
astrocytes microglia 23,42.0,0.406,88.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.128,79.0,238,11,4.62,2.35 (1.82-2.89),227,95.38,3.71 (3.48-3.94)
microglia 1,813.0,0.113,46.0,79,5,6.33,2.64 (2.09-3.20),74,93.67,3.14 (2.71-3.57)
oligodendrocytes 3,743.0,0.081,49.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.209,55.0,175,20,11.43,3.25 (2.65-3.86),155,88.57,4.55 (4.17-4.93)
