tipo_celular,module_size,LRSAM1_MM,LRSAM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.271,84.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,282.0,0.217,78.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,932.0,0.155,92.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06)
oligodendrocyte progenitor cells 7,4285.0,0.126,36.0,353,60,17.0,3.26 (2.81-3.72),293,83.0,4.03 (3.83-4.23)
GABA neurons expressing GLU receptors 22,714.0,0.17,44.0,17,3,17.65,2.27 (1.88-2.67),14,82.35,2.31 (1.60-3.03)
GLU like neurons 17,1247.0,0.184,78.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,145.0,0.199,41.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,271.0,0.307,88.0,8,2,25.0,5.98 (5.98-5.98),6,75.0,2.50 (1.33-3.67)
GABA like neurons 14,2090.0,0.271,96.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.101,67.0,66,14,21.21,2.45 (1.77-3.14),52,78.79,3.48 (2.99-3.97)
oligodendrocyte progenitor cells 12,708.0,0.041,9.0,32,11,34.38,2.68 (2.04-3.33),21,65.62,3.61 (2.36-4.86)
oligodendrocytes 10,2107.0,0.075,15.0,358,65,18.16,3.22 (2.75-3.70),293,81.84,4.03 (3.83-4.23)
connective tissue cells 21,104.0,0.338,77.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.06,25.0,96,11,11.46,3.10 (2.35-3.84),85,88.54,3.70 (3.19-4.20)
oligodendrocytes 16,155.0,0.355,97.0,8,1,12.5,5.19 (NA-NA),7,87.5,2.10 (-1.23-5.42)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.252,18.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,721.0,0.189,97.0,61,4,6.56,2.87 (1.31-4.42),57,93.44,2.97 (2.54-3.40)
oligodendrocytes 0,2078.0,0.1,21.0,238,29,12.18,3.82 (3.13-4.51),209,87.82,3.61 (3.38-3.85)
microglia 1,1615.0,0.091,23.0,161,42,26.09,3.38 (2.67-4.08),119,73.91,3.24 (2.97-3.51)
oligodendrocytes 3,357.0,0.069,28.0,127,1,0.79,5.19 (NA-NA),126,99.21,3.10 (2.77-3.43)
oligodendrocytes 2,407.0,0.149,46.0,122,23,18.85,2.85 (2.09-3.60),99,81.15,3.48 (3.04-3.93)
