tipo_celular,module_size,URB1_MM,URB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.128,71.0,136,8,5.88,2.01 (1.31-2.72),128,94.12,3.29 (3.01-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.154,77.0,353,33,9.35,1.67 (1.31-2.04),320,90.65,4.20 (4.02-4.37)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,489.0,0.108,29.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,204.0,0.083,12.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.098,25.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,271.0,0.231,72.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.164,71.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.062,36.0,89,10,11.24,1.67 (1.03-2.32),79,88.76,2.96 (2.58-3.34)
oligodendrocyte progenitor cells 12,708.0,0.034,4.0,32,6,18.75,0.64 (0.21-1.08),26,81.25,3.96 (3.16-4.75)
oligodendrocytes 10,2107.0,0.065,12.0,358,32,8.94,1.60 (1.26-1.93),326,91.06,4.17 (3.99-4.35)
connective tissue cells 21,104.0,0.25,31.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1401.0,0.135,84.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.67 (3.21-4.12)
oligodendrocytes 16,91.0,0.282,82.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,140.0,0.319,61.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.14,41.0,104,23,22.12,1.63 (1.30-1.95),81,77.88,3.25 (2.95-3.56)
oligodendrocytes 0,2078.0,0.116,55.0,238,4,1.68,1.70 (0.57-2.84),234,98.32,3.68 (3.45-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.065,21.0,87,21,24.14,1.52 (1.23-1.81),66,75.86,2.96 (2.66-3.26)
oligodendrocytes 2,1630.0,0.155,77.0,154,4,2.6,5.22 (4.15-6.29),150,97.4,3.18 (2.92-3.45)
