tipo_celular,module_size,DPH6_MM,DPH6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.215,74.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.194,70.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.13,42.0,353,11,3.12,1.67 (0.95-2.38),342,96.88,3.98 (3.80-4.17)
GABA neurons expressing GLU receptors 22,714.0,0.178,49.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1247.0,0.07,9.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,204.0,0.218,64.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.157,71.0,297,2,0.67,3.12 (1.95-4.29),295,99.33,3.68 (3.47-3.88)
oligodendrocytes 20,298.0,0.279,89.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2090.0,0.16,54.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.088,57.0,66,3,4.55,1.56 (-0.41-3.53),63,95.45,3.32 (2.90-3.74)
oligodendrocyte progenitor cells 12,3303.0,0.098,73.0,276,7,2.54,1.91 (1.17-2.65),269,97.46,3.60 (3.38-3.82)
oligodendrocytes 10,1277.0,0.174,82.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106.0,0.228,22.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,443.0,0.118,24.0,9,2,22.22,2.04 (-0.10-4.18),7,77.78,3.68 (2.17-5.18)
oligodendrocytes 16,199.0,0.136,23.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.332,85.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,752.0,0.17,75.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,479.0,0.178,69.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,813.0,0.078,7.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,639.0,0.173,88.0,15,4,26.67,1.25 (-0.07-2.56),11,73.33,3.93 (2.38-5.49)
oligodendrocytes 2,237.0,0.22,53.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
