tipo_celular,module_size,VPS26B_MM,VPS26B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,610.0,0.194,77.0,98,29,29.59,3.02 (2.24-3.79),69,70.41,3.17 (2.89-3.45)
astrocytes 5,1656.0,0.114,48.0,136,2,1.47,3.71 (2.16-5.26),134,98.53,3.20 (2.93-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,37,10.48,3.11 (2.41-3.80),316,89.52,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,703.0,0.175,44.0,23,1,4.35,NA,22,95.65,2.09 (1.38-2.80)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.062,2.0,410,24,5.85,3.53 (2.82-4.23),386,94.15,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.19,75.0,18,8,44.44,0.89 (0.36-1.43),10,55.56,2.66 (1.77-3.55)
GABA like neurons 14,2402.0,0.135,19.0,455,34,7.47,3.17 (2.50-3.84),421,92.53,4.47 (4.29-4.66)
astrocytes 8,603.0,0.025,2.0,89,1,1.12,0.82 (NA-NA),88,98.88,2.79 (2.44-3.14)
oligodendrocyte progenitor cells 12,3303.0,0.058,24.0,276,24,8.7,2.75 (2.14-3.37),252,91.3,3.64 (3.41-3.87)
oligodendrocytes 10,735.0,0.07,28.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,116.0,0.369,87.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,1768.0,0.098,60.0,105,16,15.24,3.18 (2.13-4.23),89,84.76,3.22 (2.87-3.57)
oligodendrocytes 16,69.0,0.248,77.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.076,18.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,122.0,0.412,94.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,1807.0,0.136,33.0,104,12,11.54,2.22 (1.33-3.12),92,88.46,2.95 (2.66-3.25)
oligodendrocytes 0,2078.0,0.101,23.0,238,13,5.46,4.07 (2.85-5.29),225,94.54,3.61 (3.39-3.83)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.052,11.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,1630.0,0.168,92.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
