tipo_celular,module_size,ZKSCAN1_MM,ZKSCAN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.215,62.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,282,0.181,55.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,932,0.116,61.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.095,7.0,353,29,8.22,1.79 (1.54-2.04),324,91.78,4.14 (3.96-4.32)
GABA neurons expressing GLU receptors 22,703,0.194,57.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,380,0.108,9.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,109,0.118,14.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,288,0.14,34.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80)
endothelial cells 9,658,0.211,54.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,676,0.284,52.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,2090,0.105,16.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60)
astrocytes 8,283,0.154,58.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708,0.209,75.0,32,0,0.0,NA,32,100.0,3.25 (2.44-4.05)
oligodendrocytes 10,130,0.547,80.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106,0.178,4.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,1401,0.142,87.0,96,1,1.04,1.85 (NA-NA),95,98.96,3.64 (3.18-4.09)
oligodendrocytes 16,153,0.342,43.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398,0.095,16.0,138,4,2.9,0.81 (0.61-1.01),134,97.1,4.97 (4.61-5.32)
astrocytes microglia 23,58,0.218,8.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255,0.177,56.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,261,0.169,40.0,42,3,7.14,0.90 (0.75-1.04),39,92.86,4.39 (3.73-5.04)
microglia 1,127,0.091,6.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,44,0.241,45.0,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,237,0.212,47.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
