tipo_celular,module_size,CNOT9_MM,CNOT9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.24,71.0,21,3,14.29,0.35 (0.26-0.44),18,85.71,2.64 (2.04-3.25)
T cells 18,624.0,0.176,70.0,142,6,4.23,5.54 (5.39-5.69),136,95.77,3.09 (2.83-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.134,49.0,353,68,19.26,3.03 (2.60-3.47),285,80.74,4.15 (3.96-4.34)
GABA neurons expressing GLU receptors 22,823.0,0.244,85.0,23,5,21.74,2.79 (1.88-3.71),18,78.26,2.24 (1.30-3.19)
GLU like neurons 17,685.0,0.104,31.0,135,48,35.56,2.82 (2.41-3.23),87,64.44,3.44 (3.02-3.86)
da like neurons 11,59.0,0.095,19.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.086,17.0,297,8,2.69,5.16 (4.41-5.91),289,97.31,3.64 (3.43-3.85)
oligodendrocytes 20,330.0,0.156,43.0,36,15,41.67,2.12 (1.77-2.47),21,58.33,1.76 (1.21-2.32)
GABA like neurons 14,3052.0,0.057,3.0,125,2,1.6,4.29 (1.76-6.81),123,98.4,3.33 (3.01-3.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,143.0,0.052,10.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,2107.0,0.048,5.0,358,79,22.07,3.06 (2.64-3.48),279,77.93,4.16 (3.97-4.36)
connective tissue cells 21,118.0,0.278,38.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,69.0,0.26,77.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.4,89.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.12,61.0,238,27,11.34,4.16 (3.53-4.78),211,88.66,3.56 (3.32-3.79)
microglia 1,958.0,0.104,39.0,290,41,14.14,4.10 (3.55-4.66),249,85.86,3.76 (3.51-4.01)
oligodendrocytes 3,854.0,0.056,10.0,76,4,5.26,2.82 (0.90-4.74),72,94.74,2.78 (2.44-3.11)
oligodendrocytes 2,1630.0,0.152,71.0,154,2,1.3,2.74 (2.69-2.78),152,98.7,3.25 (2.98-3.52)
