tipo_celular,module_size,WDR75_MM,WDR75_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.147,42.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,610.0,0.114,21.0,98,32,32.65,1.85 (1.49-2.21),66,67.35,3.84 (3.52-4.17)
astrocytes 5,1656.0,0.139,85.0,136,9,6.62,2.06 (1.43-2.69),127,93.38,3.30 (3.02-3.58)
oligodendrocyte progenitor cells 7,4285.0,0.147,69.0,353,52,14.73,1.95 (1.68-2.23),301,85.27,4.35 (4.17-4.52)
GABA neurons expressing GLU receptors 22,567.0,0.169,39.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,1316.0,0.1,29.0,101,2,1.98,2.84 (2.81-2.86),99,98.02,3.06 (2.70-3.42)
da like neurons 11,132.0,0.134,24.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.099,25.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,358.0,0.032,9.0,31,2,6.45,3.01 (2.80-3.22),29,93.55,2.31 (1.85-2.77)
GABA like neurons 14,3052.0,0.186,86.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,140.0,0.066,29.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.035,5.0,235,9,3.83,5.34 (4.06-6.62),226,96.17,3.76 (3.53-4.00)
oligodendrocytes 10,2107.0,0.112,35.0,358,59,16.48,1.91 (1.67-2.15),299,83.52,4.42 (4.24-4.60)
connective tissue cells 21,78.0,0.346,86.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,208.0,0.038,13.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,82.0,0.139,14.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,61.0,0.339,70.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.131,26.0,104,26,25.0,1.70 (1.36-2.04),78,75.0,3.29 (2.98-3.60)
oligodendrocytes 0,2078.0,0.128,80.0,238,13,5.46,2.33 (1.92-2.74),225,94.54,3.73 (3.50-3.95)
microglia 1,813.0,0.089,16.0,79,5,6.33,5.56 (4.50-6.61),74,93.67,2.92 (2.53-3.31)
oligodendrocytes 3,854.0,0.07,25.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,1630.0,0.152,72.0,154,5,3.25,4.72 (3.43-6.01),149,96.75,3.19 (2.92-3.46)
