tipo_celular,module_size,GPRIN3_MM,GPRIN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.259,76.0,102,0,0.0,NA,102,100.0,3.50 (3.14-3.86)
T cells 18,388.0,0.224,81.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.128,38.0,353,3,0.85,1.23 (0.23-2.23),350,99.15,3.92 (3.73-4.10)
GABA neurons expressing GLU receptors 22,823.0,0.256,88.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,489.0,0.148,57.0,42,8,19.05,5.51 (4.63-6.40),34,80.95,6.17 (5.48-6.85)
da like neurons 11,153.0,0.382,89.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,77.0,0.203,72.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.181,83.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.102,77.0,276,0,0.0,NA,276,100.0,3.54 (3.32-3.76)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.16,76.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,327.0,0.338,53.0,120,1,0.83,1.29 (NA-NA),119,99.17,3.64 (3.34-3.94)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.268,79.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
