tipo_celular,module_size,KDM1B_MM,KDM1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.162,50.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.104,32.0,136,5,3.68,1.51 (1.20-1.83),131,96.32,3.28 (3.01-3.56)
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,67,18.98,2.27 (1.99-2.55),286,81.02,4.41 (4.23-4.59)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,97.0,0.2,52.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.069,22.0,169,5,2.96,1.66 (0.18-3.13),164,97.04,3.55 (3.33-3.76)
GABA like neurons 14,3052.0,0.089,12.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,262.0,0.043,5.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,708.0,0.04,8.0,32,10,31.25,1.40 (0.71-2.08),22,68.75,4.27 (3.37-5.17)
oligodendrocytes 10,483.0,0.079,30.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.071,7.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,90.0,0.231,66.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.274,19.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.139,39.0,104,25,24.04,1.68 (1.33-2.02),79,75.96,3.28 (2.97-3.59)
oligodendrocytes 0,2078.0,0.101,24.0,238,25,10.5,2.89 (2.45-3.33),213,89.5,3.74 (3.50-3.98)
microglia 1,813.0,0.111,45.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.055,10.0,76,2,2.63,0.72 (-0.29-1.73),74,97.37,2.84 (2.51-3.17)
oligodendrocytes 2,1630.0,0.145,57.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
