Gene,Statistic,Percentage,Cell Types
A2M,1 out of 24,4.17%,Endothelial cells 9
A2ML1,2 out of 24,8.33%,Astrocytes 4; Astrocytes 5
A2ML1-AS1,1 out of 24,4.17%,Astrocytes microglia 23
A4GALT,0 out of 24,0.00%,
AAAS,0 out of 24,0.00%,
AACS,0 out of 24,0.00%,
AADAT,0 out of 24,0.00%,
AAGAB,0 out of 24,0.00%,
AAK1,0 out of 24,0.00%,
AAMDC,0 out of 24,0.00%,
AAMP,0 out of 24,0.00%,
AAR2,0 out of 24,0.00%,
AARS,0 out of 24,0.00%,
AASDH,1 out of 24,4.17%,Oligodendrocytes 16
AASDHPPT,2 out of 24,8.33%,Astrocytes microglia 23; GABA neurons expressing GLU receptors 22
AASS,2 out of 24,8.33%,Oligodendrocytes 20; Oligodendrocyte progenitor cells 7
AATF,0 out of 24,0.00%,
AATK,0 out of 24,0.00%,
ABAT,2 out of 24,8.33%,Connective tissue cells 21; Oligodendrocyte progenitor cells 12
ABCA1,2 out of 24,8.33%,Oligodendrocytes 0; Microglia 19
ABCA10,1 out of 24,4.17%,DA like neurons 11
ABCA2,4 out of 24,16.67%,Astrocytes 8; DA like neurons 11; Oligodendrocyte progenitor cells 12; T cells 18
ABCA3,1 out of 24,4.17%,GABA like neurons 14
ABCA4,0 out of 24,0.00%,
ABCA5,0 out of 24,0.00%,
ABCA6,1 out of 24,4.17%,GABA like neurons 14
ABCA7,2 out of 24,8.33%,Astrocytes microglia 23; GABA like neurons 14
ABCA8,2 out of 24,8.33%,Oligodendrocytes 10; Oligodendrocytes 16
ABCA9,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
ABCA9-AS1,0 out of 24,0.00%,
ABCB1,1 out of 24,4.17%,Endothelial cells 9
ABCB10,1 out of 24,4.17%,Oligodendrocytes 20
ABCB7,1 out of 24,4.17%,Astrocytes 15
ABCB8,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
ABCB9,1 out of 24,4.17%,GABA like neurons 14
ABCC1,4 out of 24,16.67%,GLU like neurons 17; DA like neurons 11; Oligodendrocytes 10; T cells 18
ABCC10,0 out of 24,0.00%,
ABCC3,0 out of 24,0.00%,
ABCC4,3 out of 24,12.50%,Astrocytes microglia 23; Microglia 1; Microglia 19
ABCC5,2 out of 24,8.33%,Oligodendrocytes 3; Microglia 19
ABCC8,0 out of 24,0.00%,
ABCC9,3 out of 24,12.50%,Astrocytes 8; Astrocytes 5; Endothelial cells 9
ABCD2,1 out of 24,4.17%,Astrocytes 15
ABCD3,0 out of 24,0.00%,
ABCD4,1 out of 24,4.17%,Oligodendrocytes 3
ABCE1,1 out of 24,4.17%,Microglia 19
ABCF1,0 out of 24,0.00%,
ABCF3,0 out of 24,0.00%,
ABCG1,0 out of 24,0.00%,
ABCG2,1 out of 24,4.17%,Endothelial cells 9
ABHD10,0 out of 24,0.00%,
ABHD12,0 out of 24,0.00%,
ABHD13,0 out of 24,0.00%,
ABHD15,1 out of 24,4.17%,Astrocytes microglia 23
ABHD15-AS1,0 out of 24,0.00%,
ABHD17A,0 out of 24,0.00%,
ABHD17B,0 out of 24,0.00%,
ABHD17C,0 out of 24,0.00%,
ABHD18,1 out of 24,4.17%,Oligodendrocytes 10
ABHD2,1 out of 24,4.17%,Astrocytes 4
ABHD3,8 out of 24,33.33%,Astrocytes 8; GABA neurons expressing GLU receptors 22; Astrocytes 5; Oligodendrocyte progenitor cells 7; Astrocytes 4; GABA like neurons 14; T cells 18; Endothelial cells 9
ABHD5,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
ABHD6,0 out of 24,0.00%,
ABHD8,0 out of 24,0.00%,
ABI1,0 out of 24,0.00%,
ABI2,0 out of 24,0.00%,
ABI3,1 out of 24,4.17%,Astrocytes microglia 23
ABI3BP,4 out of 24,16.67%,Astrocytes 8; Astrocytes 5; Astrocytes microglia 23; Astrocytes 15
ABL1,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; Oligodendrocytes 10
ABL2,0 out of 24,0.00%,
ABLIM1,2 out of 24,8.33%,Endothelial cells 9; Oligodendrocyte progenitor cells 12
ABLIM2,1 out of 24,4.17%,GABA like neurons 14
ABLIM3,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; GLU like neurons 17
ABO,0 out of 24,0.00%,
ABR,3 out of 24,12.50%,Astrocytes 8; DA like neurons 11; GABA like neurons 14
ABRAXAS2,0 out of 24,0.00%,
ABTB1,0 out of 24,0.00%,
ABTB2,1 out of 24,4.17%,Oligodendrocyte progenitor cells 12
AC001226.2,0 out of 24,0.00%,
AC002070.1,0 out of 24,0.00%,
AC002074.1,0 out of 24,0.00%,
AC002429.2,2 out of 24,8.33%,Astrocytes 4; Astrocytes 15
AC003002.2,0 out of 24,0.00%,
AC003991.1,0 out of 24,0.00%,
AC004076.1,0 out of 24,0.00%,
AC004158.1,0 out of 24,0.00%,
AC004253.1,0 out of 24,0.00%,
AC004540.1,0 out of 24,0.00%,
AC004540.2,0 out of 24,0.00%,
AC004594.1,0 out of 24,0.00%,
AC004687.1,0 out of 24,0.00%,
AC004690.2,0 out of 24,0.00%,
AC004784.1,0 out of 24,0.00%,
AC004805.1,0 out of 24,0.00%,
AC004852.2,0 out of 24,0.00%,
AC004889.1,1 out of 24,4.17%,Connective tissue cells 21
AC004918.1,0 out of 24,0.00%,
AC004943.2,0 out of 24,0.00%,
AC005037.1,0 out of 24,0.00%,
AC005154.6,2 out of 24,8.33%,Oligodendrocytes 20; Oligodendrocyte progenitor cells 12
AC005162.3,0 out of 24,0.00%,
AC005165.1,0 out of 24,0.00%,
AC005225.2,1 out of 24,4.17%,Astrocytes microglia 23
AC005258.1,1 out of 24,4.17%,Astrocytes microglia 23
AC005261.1,0 out of 24,0.00%,
AC005332.5,1 out of 24,4.17%,Astrocytes microglia 23
AC005480.1,0 out of 24,0.00%,
AC005537.1,0 out of 24,0.00%,
AC005670.2,1 out of 24,4.17%,Astrocytes microglia 23
AC005697.1,0 out of 24,0.00%,
AC005726.1,0 out of 24,0.00%,
AC005833.2,0 out of 24,0.00%,
AC006030.1,0 out of 24,0.00%,
AC006058.1,0 out of 24,0.00%,
