Gene,Statistic,Percentage,Cell Types
A2M,2 out of 24,8.33%,Endothelial_cells 9; Connective_tissue_cells 21
A2ML1,3 out of 24,12.50%,Astrocytes 4; Astrocytes 5; Astrocytes 15
A2ML1-AS1,1 out of 24,4.17%,Astrocytes_microglia 23
A4GALT,1 out of 24,4.17%,Connective_tissue_cells 21
AAAS,1 out of 24,4.17%,Astrocytes_microglia 23
AACS,0 out of 24,0.00%,
AADAT,0 out of 24,0.00%,
AAGAB,5 out of 24,20.83%,T_cells 18; GABA_like_neurons 14; Astrocytes 5; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22
AAK1,0 out of 24,0.00%,
AAMDC,0 out of 24,0.00%,
AAMP,0 out of 24,0.00%,
AAR2,0 out of 24,0.00%,
AARS,2 out of 24,8.33%,GLU_like_neurons 17; Connective_tissue_cells 21
AASDH,3 out of 24,12.50%,Astrocytes 8; Oligodendrocytes 16; Oligodendrocytes 0
AASDHPPT,4 out of 24,16.67%,Astrocytes_microglia 23; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocytes 2; Oligodendrocytes 0
AASS,4 out of 24,16.67%,Oligodendrocytes 20; Oligodendrocyte_progenitor_cells 7; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 0
AATF,1 out of 24,4.17%,Oligodendrocyte_progenitor_cells 7
AATK,5 out of 24,20.83%,Oligodendrocytes 10; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 3; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11
ABAT,6 out of 24,25.00%,Astrocytes 8; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Microglia 19; DA_like_neurons 11; Connective_tissue_cells 21
ABCA1,7 out of 24,29.17%,Oligodendrocytes 20; Microglia 19; Oligodendrocyte_progenitor_cells 12; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocytes 0; Microglia 1; Endothelial_cells 9
ABCA10,2 out of 24,8.33%,DA_like_neurons 11; Connective_tissue_cells 21
