Gene,Statistic,Percentage,Cell Types
A2M,6 out of 24,25.00%,Astrocytes_microglia 23; T_cells 18; Microglia 19; Microglia 1; Endothelial_cells 9; Connective_tissue_cells 21
A2ML1,5 out of 24,20.83%,Astrocytes_microglia 23; Astrocytes 8; Astrocytes 5; Astrocytes 4; Astrocytes 15
A2ML1-AS1,2 out of 24,8.33%,Astrocytes_microglia 23; GABA_like_neurons 14
A4GALT,2 out of 24,8.33%,Endothelial_cells 9; Connective_tissue_cells 21
AAAS,1 out of 24,4.17%,Astrocytes_microglia 23
AACS,9 out of 24,37.50%,Astrocytes_microglia 23; T_cells 18; GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 12; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11; DA_neurons 6
AADAT,3 out of 24,12.50%,GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 12; Oligodendrocyte_progenitor_cells 7
AAGAB,23 out of 24,95.83%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
AAK1,24 out of 24,100.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
AAMDC,21 out of 24,87.50%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; Endothelial_cells 9
AAMP,4 out of 24,16.67%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Endothelial_cells 9; DA_neurons 6
AAR2,1 out of 24,4.17%,GABA_neurons_expressing_GLU_receptors 22
AARS,23 out of 24,95.83%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
AASDH,20 out of 24,83.33%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11
AASDHPPT,17 out of 24,70.83%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; T_cells 18; GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Oligodendrocytes 2; Oligodendrocytes 0; Oligodendrocytes 3; DA_like_neurons 11; Oligodendrocyte_progenitor_cells 7; Endothelial_cells 9; DA_neurons 6
AASS,15 out of 24,62.50%,Astrocytes_microglia 23; Astrocytes 8; Oligodendrocytes 20; Oligodendrocytes 10; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; Oligodendrocytes 16; Oligodendrocytes 2; Oligodendrocytes 3; Astrocytes 15; Oligodendrocytes 0; Oligodendrocyte_progenitor_cells 7; Endothelial_cells 9; Connective_tissue_cells 21
AATF,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
AATK,15 out of 24,62.50%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Oligodendrocytes 2; Oligodendrocytes 0; Oligodendrocytes 3; DA_like_neurons 11; Oligodendrocyte_progenitor_cells 7; DA_neurons 6
ABAT,23 out of 24,95.83%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; DA_neurons 6
ABCA1,20 out of 24,83.33%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
ABCA10,7 out of 24,29.17%,GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 12; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11; Connective_tissue_cells 21
ABCA2,21 out of 24,87.50%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
ABCA3,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
ABCA4,1 out of 24,4.17%,Connective_tissue_cells 21
ABCA5,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
ABCA6,11 out of 24,45.83%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Oligodendrocytes 2; Oligodendrocytes 0; Oligodendrocytes 3; DA_like_neurons 11; Connective_tissue_cells 21
ABCA7,5 out of 24,20.83%,Astrocytes_microglia 23; T_cells 18; GABA_like_neurons 14; GLU_like_neurons 17; DA_like_neurons 11
ABCA8,8 out of 24,33.33%,Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 16; Oligodendrocytes 2; Oligodendrocytes 3; Oligodendrocytes 0; Endothelial_cells 9; Connective_tissue_cells 21
ABCA9,6 out of 24,25.00%,GABA_like_neurons 14; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; DA_like_neurons 11; Endothelial_cells 9; Connective_tissue_cells 21
ABCA9-AS1,1 out of 24,4.17%,Connective_tissue_cells 21
ABCB1,2 out of 24,8.33%,T_cells 18; Endothelial_cells 9
