tipo_celular,module_size,SERP2_MM,SERP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.098,9.0,353,13,3.68,1.81 (0.62-3.01),340,96.32,3.99 (3.81-4.17),34.53,7.05
GABA neurons expressing GLU receptors 22,192.0,0.108,35.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44),NA,3.32
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.154,40.0,410,6,1.46,4.37 (2.26-6.47),404,98.54,4.24 (4.06-4.43),7.53,7.52
GABA neurons expressing GABA receptors 13,417.0,0.237,86.0,213,8,3.76,0.60 (0.22-0.99),205,96.24,3.91 (3.68-4.15),10.06,9.67
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,250.0,0.268,74.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402.0,0.43,82.0,455,13,2.86,2.47 (1.07-3.87),442,97.14,4.42 (4.24-4.60),29.84,8.22
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.13,68.0,235,2,0.85,4.81 (2.72-6.91),233,99.15,3.81 (3.58-4.05),7.10,7.62
oligodendrocytes 10,806.0,0.166,53.0,261,2,0.77,2.99 (1.51-4.47),259,99.23,4.38 (4.14-4.62),6.80,6.06
connective tissue cells 21,111.0,0.331,71.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,81.0,0.198,59.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,729.0,0.221,80.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,101.0,0.423,94.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59),NA,2.93
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.054,1.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.03,1.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,1630.0,0.118,11.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
