tipo_celular,module_size,SNX14_MM,SNX14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.15,41.0,32,3,9.38,3.70 (0.83-6.57),29,90.62,3.73 (2.90-4.55),2.60,3.72
T cells 18,518,0.156,51.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1141,0.126,43.0,166,6,3.61,1.09 (-0.03-2.21),160,96.39,3.48 (3.23-3.72),4.67,4.54
oligodendrocyte progenitor cells 7,4285,0.145,66.0,353,18,5.1,2.23 (1.18-3.28),335,94.9,4.01 (3.83-4.18),30.47,6.86
GABA neurons expressing GLU receptors 22,714,0.169,43.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,380,0.265,93.0,39,1,2.56,7.59 (NA-NA),38,97.44,2.83 (2.33-3.34),1.56,2.60
da like neurons 11,77,0.388,75.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,7.10
GABA neurons expressing GABA receptors 13,357,0.096,13.0,237,9,3.8,4.35 (3.08-5.61),228,96.2,4.41 (4.17-4.65),4.17,4.18
endothelial cells 9,1653,0.107,33.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88),1.91,5.53
oligodendrocytes 20,322,0.087,33.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052,0.183,84.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,262,0.157,59.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,708,0.06,18.0,25,4,16.0,4.94 (1.76-8.12),21,84.0,2.38 (1.53-3.23),2.36,2.57
oligodendrocytes 10,2107,0.14,47.0,358,17,4.75,2.23 (1.11-3.35),341,95.25,3.97 (3.79-4.16),28.09,8.54
connective tissue cells 21,85,0.27,31.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,1768,0.086,49.0,105,10,9.52,3.02 (1.40-4.63),95,90.48,3.23 (2.91-3.56),4.59,3.91
oligodendrocytes 16,199,0.146,28.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,518,0.118,58.0,122,12,9.84,1.77 (1.07-2.47),110,90.16,4.32 (3.92-4.71),3.63,3.47
astrocytes microglia 23,107,0.257,15.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA),NA,2.49
astrocytes 4,721,0.143,33.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,2078,0.111,44.0,238,4,1.68,4.94 (1.76-8.12),234,98.32,3.61 (3.39-3.83),9.32,4.95
microglia 1,1615,0.104,42.0,161,14,8.7,2.22 (0.87-3.57),147,91.3,3.40 (3.15-3.65),13.65,4.65
oligodendrocytes 3,639,0.07,25.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,804,0.14,36.0,84,5,5.95,1.09 (0.52-1.66),79,94.05,2.82 (2.48-3.16),3.09,3.42
