tipo_celular,module_size,PSMA5_MM,PSMA5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,506.0,0.097,10.0,225,22,9.78,3.26 (2.55-3.98),203,90.22,3.63 (3.37-3.90),10.82,7.59
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.114,21.0,410,35,8.54,3.23 (2.81-3.65),375,91.46,4.34 (4.14-4.53),13.61,6.95
GABA neurons expressing GABA receptors 13,101.0,0.117,11.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,916.0,0.146,30.0,302,16,5.3,3.27 (2.41-4.13),286,94.7,4.01 (3.78-4.24),7.67,10.82
oligodendrocytes 20,253.0,0.181,62.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402.0,0.213,45.0,455,50,10.99,2.51 (2.08-2.95),405,89.01,4.59 (4.40-4.78),19.14,7.56
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,735.0,0.133,70.0,277,8,2.89,4.03 (3.69-4.37),269,97.11,3.89 (3.65-4.14),5.05,9.06
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,90.0,0.326,93.0,2,1,50.0,1.71 (NA-NA),1,50.0,0.94 (NA-NA),1.88,1.73
da neurons 6,729.0,0.104,25.0,182,1,0.55,NA,181,99.45,3.64 (3.38-3.89),2.74,8.55
astrocytes microglia 23,70.0,0.33,48.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.53
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.069,2.0,252,46,18.25,2.54 (2.07-3.02),206,81.75,4.43 (4.17-4.69),11.56,7.46
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.088,59.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.139,44.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
