tipo_celular,module_size,GHR_MM,GHR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.087,5.0,166,14,8.43,1.70 (1.22-2.19),152,91.57,3.58 (3.33-3.84),4.00,4.60
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,26,7.37,1.58 (1.17-1.99),327,92.63,4.10 (3.92-4.28),22.00,6.96
GABA neurons expressing GLU receptors 22,823.0,0.104,10.0,23,3,13.04,2.38 (1.03-3.73),20,86.96,2.40 (1.55-3.24),1.82,3.66
GLU like neurons 17,685.0,0.102,30.0,135,31,22.96,2.27 (1.83-2.72),104,77.04,3.47 (3.12-3.83),3.82,3.73
da like neurons 11,137.0,0.211,31.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.248,58.0,62,3,4.84,2.43 (NA-NA),59,95.16,4.08 (3.63-4.53),2.53,4.29
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.159,67.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,727.0,0.192,86.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,218.0,0.081,30.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,147.0,0.361,94.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,443.0,0.118,24.0,9,3,33.33,2.04 (-0.10-4.18),6,66.67,3.68 (2.17-5.18),3.19,1.73
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,58.0,0.233,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.136,26.0,96,6,6.25,2.05 (1.65-2.46),90,93.75,3.39 (3.05-3.74),2.43,4.45
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
