tipo_celular,module_size,LARS2_MM,LARS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.192,33.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,624.0,0.17,65.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,932.0,0.082,11.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.119,26.0,353,25,7.08,1.67 (1.15-2.18),328,92.92,4.11 (3.94-4.29),32.78,6.18
GABA neurons expressing GLU receptors 22,823.0,0.166,42.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,1247.0,0.148,60.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,289.0,0.189,52.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.105,31.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,403.0,0.313,93.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57),5.27,2.61
GABA like neurons 14,3052.0,0.179,82.0,125,1,0.8,5.16 (NA-NA),124,99.2,3.33 (3.01-3.66),2.69,8.66
astrocytes 8,354.0,0.134,59.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.099,73.0,276,16,5.8,1.88 (1.38-2.38),260,94.2,3.68 (3.46-3.90),13.85,4.57
oligodendrocytes 10,2107.0,0.169,58.0,358,23,6.42,1.60 (1.05-2.14),335,93.58,4.08 (3.89-4.26),37.83,7.53
connective tissue cells 21,183.0,0.163,8.0,32,0,0.0,NA,32,100.0,5.12 (4.48-5.76),NA,2.67
astrocytes 15,1768.0,0.074,37.0,105,13,12.38,1.57 (1.18-1.95),92,87.62,3.47 (3.12-3.82),8.28,3.37
oligodendrocytes 16,105.0,0.195,39.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,78.0,0.218,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.151,50.0,65,1,1.54,5.16 (NA-NA),64,98.46,2.92 (2.53-3.31),2.40,5.80
oligodendrocytes 0,2078.0,0.095,15.0,238,7,2.94,3.26 (1.77-4.76),231,97.06,3.65 (3.43-3.87),8.40,4.92
microglia 1,813.0,0.114,47.0,79,5,6.33,4.70 (3.75-5.65),74,93.67,2.98 (2.57-3.40),4.37,8.14
oligodendrocytes 3,1003.0,0.087,41.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.12,14.0,154,4,2.6,3.22 (1.83-4.60),150,97.4,3.25 (2.97-3.52),3.97,3.58
