tipo_celular,module_size,PODXL2_MM,PODXL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.14,32.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43),5.50,7.54
GABA neurons expressing GLU receptors 22,848.0,0.276,71.0,262,5,1.91,1.43 (0.45-2.41),257,98.09,4.23 (3.99-4.48),4.95,4.09
GLU like neurons 17,1316.0,0.094,23.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220.0,0.181,51.0,410,2,0.49,1.39 (-0.26-3.05),408,99.51,4.27 (4.08-4.45),15.05,7.48
GABA neurons expressing GABA receptors 13,265.0,0.244,82.0,78,1,1.28,3.31 (NA-NA),77,98.72,4.38 (3.96-4.80),3.03,4.28
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.215,84.0,169,3,1.78,1.00 (-0.23-2.23),166,98.22,3.54 (3.32-3.75),5.90,5.35
GABA like neurons 14,2402.0,0.374,76.0,455,11,2.42,1.16 (0.62-1.69),444,97.58,4.45 (4.27-4.63),37.47,8.13
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.065,33.0,276,7,2.54,2.13 (1.53-2.74),269,97.46,3.59 (3.37-3.81),16.77,4.81
oligodendrocytes 10,806.0,0.296,78.0,261,2,0.77,1.76 (0.84-2.69),259,99.23,4.39 (4.15-4.63),9.83,6.04
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,74.0,0.238,69.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.19,60.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,116.0,0.113,27.0,169,1,0.59,2.86 (NA-NA),168,99.41,4.29 (3.99-4.59),1.73,6.51
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.129,57.0,345,3,0.87,2.13 (1.23-3.02),342,99.13,4.30 (4.09-4.51),6.32,5.69
oligodendrocytes 2,526.0,0.208,32.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
