tipo_celular,module_size,ZNF106_MM,ZNF106_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.23,74.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,477,0.162,50.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,423,0.109,20.0,80,9,11.25,5.22 (3.85-6.59),71,88.75,3.16 (2.68-3.64),2.37,5.35
oligodendrocyte progenitor cells 7,666,0.292,91.0,127,9,7.09,2.34 (1.42-3.27),118,92.91,4.01 (3.66-4.35),4.14,5.97
GABA neurons expressing GLU receptors 22,714,0.117,13.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,1247,0.127,44.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,1220,0.095,13.0,410,2,0.49,1.88 (-0.73-4.50),408,99.51,4.26 (4.08-4.45),18.57,7.46
GABA neurons expressing GABA receptors 13,238,0.186,63.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,385,0.087,30.0,275,9,3.27,1.65 (0.83-2.48),266,96.73,4.05 (3.79-4.31),16.03,5.54
oligodendrocytes 20,322,0.233,85.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52),1.43,5.54
GABA like neurons 14,3052,0.191,88.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266,0.09,59.0,66,4,6.06,1.43 (0.01-2.84),62,93.94,3.36 (2.94-3.78),4.61,2.85
oligodendrocyte progenitor cells 12,708,0.077,32.0,32,2,6.25,1.89 (-1.31-5.09),30,93.75,3.35 (2.51-4.19),4.85,2.45
oligodendrocytes 10,2107,0.057,8.0,358,12,3.35,1.34 (0.74-1.95),346,96.65,3.98 (3.79-4.17),19.04,9.14
connective tissue cells 21,125,0.252,26.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,1401,0.064,30.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,78,0.158,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.235,91.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58),NA,3.03
astrocytes microglia 23,255,0.205,13.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01),NA,3.33
astrocytes 4,721,0.144,36.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,613,0.117,22.0,127,1,0.79,NA,126,99.21,3.05 (2.64-3.46),2.00,6.31
microglia 1,958,0.161,93.0,290,5,1.72,1.48 (0.34-2.62),285,98.28,3.86 (3.63-4.08),8.72,4.94
oligodendrocytes 3,457,0.039,4.0,345,3,0.87,2.25 (0.36-4.14),342,99.13,4.29 (4.08-4.50),5.83,5.69
oligodendrocytes 2,921,0.157,80.0,200,6,3.0,6.00 (4.57-7.42),194,97.0,3.55 (3.28-3.81),4.70,3.43
