tipo_celular,module_size,DCAKD_MM,DCAKD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.131,32.0,28,0,0.0,NA,28,100.0,5.31 (4.72-5.89),NA,2.41
oligodendrocyte progenitor cells 7,628.0,0.157,45.0,164,3,1.83,1.94 (1.30-2.58),161,98.17,4.14 (3.81-4.47),6.19,7.55
GABA neurons expressing GLU receptors 22,1069.0,0.142,34.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247.0,0.093,20.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21),2.39,3.25
da like neurons 11,853.0,0.139,57.0,133,13,9.77,1.59 (0.79-2.38),120,90.23,3.47 (3.16-3.79),5.71,3.99
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.245,94.0,74,3,4.05,2.03 (1.40-2.66),71,95.95,2.99 (2.60-3.38),3.85,10.78
astrocytes 8,1266.0,0.22,96.0,66,10,15.15,1.76 (0.72-2.80),56,84.85,3.54 (3.13-3.95),4.15,2.74
oligodendrocyte progenitor cells 12,411.0,0.1,50.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,125.0,0.308,55.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,1401.0,0.099,63.0,96,2,2.08,4.07 (4.07-4.07),94,97.92,3.60 (3.14-4.06),1.73,3.84
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,110.0,0.303,39.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,161.0,0.167,46.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91),NA,3.11
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
