tipo_celular,module_size,PTCH1_MM,PTCH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.101,13.0,59,4,6.78,3.15 (2.73-3.57),55,93.22,3.10 (2.56-3.64),2.41,5.56
astrocytes 5,222.0,0.132,19.0,98,8,8.16,4.31 (2.85-5.77),90,91.84,4.63 (4.21-5.05),3.13,2.61
oligodendrocyte progenitor cells 7,4285.0,0.147,68.0,353,52,14.73,2.10 (1.81-2.39),301,85.27,4.31 (4.13-4.49),17.52,6.43
GABA neurons expressing GLU receptors 22,1069.0,0.193,71.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,408.0,0.106,26.0,25,6,24.0,0.98 (0.44-1.52),19,76.0,5.82 (4.60-7.04),2.17,2.31
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.161,37.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58),2.42,4.30
oligodendrocytes 20,295.0,0.214,59.0,28,8,28.57,2.86 (2.16-3.55),20,71.43,1.89 (1.35-2.44),1.98,3.51
GABA like neurons 14,3052.0,0.148,58.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.126,80.0,66,16,24.24,2.02 (1.17-2.87),50,75.76,3.62 (3.20-4.04),2.74,3.02
oligodendrocyte progenitor cells 12,3303.0,0.107,81.0,276,35,12.68,1.92 (1.68-2.16),241,87.32,3.87 (3.64-4.09),6.73,4.87
oligodendrocytes 10,1277.0,0.066,21.0,27,2,7.41,7.31 (5.40-9.21),25,92.59,5.17 (4.28-6.06),2.22,6.71
connective tissue cells 21,145.0,0.228,16.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,1768.0,0.07,33.0,105,19,18.1,1.86 (1.40-2.32),86,81.9,3.54 (3.18-3.91),4.46,3.87
oligodendrocytes 16,105.0,0.238,63.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.315,60.0,46,2,4.35,5.05 (4.68-5.42),44,95.65,5.03 (4.44-5.62),2.50,3.24
astrocytes 4,201.0,0.194,67.0,18,6,33.33,3.00 (2.56-3.44),12,66.67,5.46 (4.43-6.49),2.81,3.24
oligodendrocytes 0,2078.0,0.125,72.0,238,13,5.46,2.43 (1.93-2.94),225,94.54,3.72 (3.49-3.95),6.29,4.95
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,94.0,0.08,45.0,7,4,57.14,8.28 (8.28-8.28),3,42.86,2.97 (1.07-4.87),1.75,6.59
oligodendrocytes 2,1630.0,0.136,38.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
