tipo_celular,module_size,NDUFS2_MM,NDUFS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.299,93.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,282.0,0.156,47.0,241,29,12.03,3.63 (3.40-3.87),212,87.97,4.14 (3.85-4.44),5.60,4.17
astrocytes 5,1656.0,0.11,41.0,136,2,1.47,1.73 (0.92-2.54),134,98.53,3.23 (2.96-3.51),8.76,4.93
oligodendrocyte progenitor cells 7,628.0,0.144,35.0,164,34,20.73,4.19 (3.65-4.72),130,79.27,4.05 (3.65-4.45),4.10,8.42
GABA neurons expressing GLU receptors 22,848.0,0.163,29.0,262,24,9.16,3.21 (2.54-3.87),238,90.84,4.28 (4.02-4.54),5.17,4.00
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.211,60.0,410,82,20.0,3.80 (3.54-4.07),328,80.0,4.39 (4.16-4.62),15.39,5.55
GABA neurons expressing GABA receptors 13,417.0,0.143,37.0,213,98,46.01,3.35 (3.02-3.67),115,53.99,4.28 (3.93-4.63),13.11,6.77
endothelial cells 9,916.0,0.142,29.0,302,70,23.18,3.93 (3.60-4.25),232,76.82,4.00 (3.71-4.29),17.73,8.52
oligodendrocytes 20,228.0,0.135,24.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51),1.78,3.49
GABA like neurons 14,2402.0,0.541,92.0,455,89,19.56,3.42 (3.10-3.75),366,80.44,4.65 (4.44-4.86),17.07,6.83
astrocytes 8,520.0,0.112,48.0,288,52,18.06,3.65 (3.37-3.93),236,81.94,4.32 (4.08-4.56),4.82,4.66
oligodendrocyte progenitor cells 12,1049.0,0.064,28.0,235,52,22.13,4.00 (3.71-4.29),183,77.87,3.76 (3.47-4.06),6.53,7.92
oligodendrocytes 10,806.0,0.127,38.0,261,45,17.24,3.81 (3.42-4.20),216,82.76,4.51 (4.23-4.79),4.26,6.44
connective tissue cells 21,85.0,0.306,48.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,443.0,0.132,35.0,9,2,22.22,0.95 (NA-NA),7,77.78,3.60 (2.32-4.88),3.73,1.79
oligodendrocytes 16,107.0,0.2,34.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28),2.31,4.04
da neurons 6,409.0,0.183,75.0,235,54,22.98,3.58 (3.33-3.84),181,77.02,4.15 (3.81-4.48),5.26,4.16
astrocytes microglia 23,107.0,0.282,29.0,1,1,100.0,3.12 (NA-NA),0,0.0,NA,2.49,NA
astrocytes 4,1807.0,0.162,81.0,104,16,15.38,1.69 (1.22-2.17),88,84.62,3.10 (2.80-3.40),14.63,3.72
oligodendrocytes 0,613.0,0.132,40.0,127,3,2.36,2.92 (2.06-3.77),124,97.64,3.06 (2.63-3.49),5.46,6.30
microglia 1,214.0,0.073,3.0,227,68,29.96,3.87 (3.60-4.14),159,70.04,4.22 (3.88-4.57),8.81,4.97
oligodendrocytes 3,743.0,0.089,60.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,526.0,0.188,26.0,213,61,28.64,4.16 (3.88-4.44),152,71.36,3.89 (3.50-4.28),8.82,7.58
