tipo_celular,module_size,LMBR1L_MM,LMBR1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.205,57.0,102,11,10.78,2.38 (1.55-3.21),91,89.22,3.64 (3.26-4.03),3.61,2.96
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.162,47.0,127,13,10.24,2.24 (1.73-2.75),114,89.76,4.12 (3.77-4.47),4.26,6.02
GABA neurons expressing GLU receptors 22,703.0,0.117,15.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.162,69.0,133,7,5.26,1.05 (0.24-1.86),126,94.74,3.40 (3.09-3.71),6.97,4.01
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.223,88.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,254.0,0.051,15.0,37,12,32.43,3.34 (2.66-4.02),25,67.57,5.23 (4.56-5.89),2.73,2.35
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,145.0,0.275,40.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,124.0,0.343,68.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.134,80.0,290,9,3.1,2.13 (1.34-2.91),281,96.9,3.88 (3.65-4.11),4.66,5.01
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
