tipo_celular,module_size,HECW1_MM,HECW1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.127,49.0,219,26,11.87,5.41 (4.58-6.23),193,88.13,5.17 (4.87-5.48),7.75,4.19
GABA neurons expressing GLU receptors 22,714.0,0.656,100.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91),2.01,3.66
GLU like neurons 17,795.0,0.315,95.0,80,1,1.25,4.37 (NA-NA),79,98.75,5.70 (5.29-6.12),3.70,3.01
da like neurons 11,191.0,0.395,76.0,93,18,19.35,6.06 (5.21-6.91),75,80.65,5.52 (5.06-5.97),5.37,3.84
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.277,80.0,306,51,16.67,4.04 (3.40-4.68),255,83.33,5.40 (5.13-5.66),12.91,5.47
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,254.0,0.308,59.0,37,14,37.84,3.63 (3.03-4.23),23,62.16,5.21 (4.42-6.01),2.75,2.30
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,84.0,0.247,35.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.134,73.0,122,18,14.75,4.71 (3.31-6.11),104,85.25,3.83 (3.46-4.19),2.89,3.59
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
