tipo_celular,module_size,PSMD3_MM,PSMD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.102,28.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49),3.73,5.01
oligodendrocyte progenitor cells 7,296.0,0.111,10.0,251,6,2.39,4.23 (NA-NA),245,97.61,4.06 (3.83-4.30),5.83,6.16
GABA neurons expressing GLU receptors 22,400.0,0.132,13.0,24,11,45.83,1.48 (0.67-2.29),13,54.17,2.73 (2.25-3.21),5.01,2.37
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.181,51.0,410,37,9.02,3.23 (2.81-3.65),373,90.98,4.34 (4.14-4.53),13.09,6.96
GABA neurons expressing GABA receptors 13,357.0,0.108,20.0,237,4,1.69,3.34 (NA-NA),233,98.31,4.41 (4.18-4.65),4.91,4.17
endothelial cells 9,916.0,0.068,4.0,302,19,6.29,3.07 (2.21-3.93),283,93.71,4.02 (3.79-4.26),7.15,10.89
oligodendrocytes 20,271.0,0.128,26.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402.0,0.286,63.0,455,52,11.43,2.51 (2.08-2.95),403,88.57,4.59 (4.40-4.78),18.66,7.57
astrocytes 8,520.0,0.112,47.0,288,37,12.85,3.09 (2.63-3.55),251,87.15,4.30 (4.09-4.51),8.41,4.14
oligodendrocyte progenitor cells 12,1049.0,0.101,55.0,235,19,8.09,3.46 (2.85-4.07),216,91.91,3.84 (3.60-4.08),7.03,7.67
oligodendrocytes 10,735.0,0.155,77.0,277,10,3.61,4.03 (3.69-4.37),267,96.39,3.89 (3.65-4.14),4.65,9.11
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.102,65.0,105,24,22.86,2.45 (1.93-2.97),81,77.14,3.46 (3.07-3.86),7.91,2.81
oligodendrocytes 16,155.0,0.215,49.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,300.0,0.129,39.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,161.0,0.303,52.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,1807.0,0.105,4.0,104,22,21.15,2.09 (1.58-2.59),82,78.85,3.09 (2.78-3.41),12.58,3.47
oligodendrocytes 0,2078.0,0.096,16.0,238,4,1.68,2.04 (-1.56-5.63),234,98.32,3.65 (3.43-3.87),6.40,5.00
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.081,49.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528.0,0.171,29.0,175,17,9.71,3.18 (2.35-4.00),158,90.29,4.44 (4.08-4.81),12.21,3.80
