tipo_celular,module_size,GPS1_MM,GPS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.09,5.0,266,12,4.51,2.40 (1.17-3.63),254,95.49,4.22 (4.02-4.42),4.79,4.99
oligodendrocyte progenitor cells 7,628.0,0.079,1.0,164,2,1.22,5.80 (5.23-6.36),162,98.78,4.06 (3.73-4.39),2.00,7.59
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.193,54.0,410,14,3.41,3.98 (2.98-4.98),396,96.59,4.26 (4.07-4.45),6.35,7.56
GABA neurons expressing GABA receptors 13,357.0,0.068,2.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64),NA,4.18
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,233.0,0.215,63.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2402.0,0.249,55.0,455,29,6.37,2.50 (1.78-3.22),426,93.63,4.51 (4.33-4.69),18.94,8.15
astrocytes 8,603.0,0.096,63.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20),5.80,6.05
oligodendrocyte progenitor cells 12,3303.0,0.048,13.0,276,26,9.42,2.34 (1.80-2.88),250,90.58,3.71 (3.48-3.94),15.40,4.04
oligodendrocytes 10,806.0,0.178,56.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.084,48.0,96,1,1.04,1.85 (NA-NA),95,98.96,3.64 (3.18-4.09),1.39,3.82
oligodendrocytes 16,92.0,0.293,90.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.138,43.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,131.0,0.253,16.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54),NA,2.65
astrocytes 4,1807.0,0.145,51.0,104,19,18.27,1.83 (1.35-2.31),85,81.73,3.12 (2.81-3.42),13.71,3.54
oligodendrocytes 0,2078.0,0.07,1.0,238,7,2.94,3.57 (2.20-4.95),231,97.06,3.64 (3.41-3.86),7.46,4.95
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.074,16.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,1630.0,0.154,75.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
