tipo_celular,module_size,PCCB_MM,PCCB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.113,45.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.125,33.0,353,21,5.95,1.49 (1.02-1.95),332,94.05,4.09 (3.91-4.27),37.55,6.20
GABA neurons expressing GLU receptors 22,400.0,0.148,20.0,24,10,41.67,1.25 (0.49-2.02),14,58.33,2.80 (2.35-3.25),5.37,2.30
GLU like neurons 17,1247.0,0.04,1.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,408.0,0.069,5.0,25,2,8.0,1.10 (-0.55-2.76),23,92.0,5.00 (3.67-6.34),2.19,2.28
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.162,60.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,3052.0,0.123,36.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,354.0,0.101,38.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,708.0,0.101,44.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277.0,0.071,24.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,100.0,0.339,75.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.102,65.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,81.0,0.187,37.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,448.0,0.075,17.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,96.0,0.264,16.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,1807.0,0.151,62.0,104,13,12.5,1.56 (1.03-2.09),91,87.5,3.07 (2.77-3.36),15.85,3.90
oligodendrocytes 0,1186.0,0.123,20.0,300,2,0.67,NA,298,99.33,3.79 (3.59-4.00),2.31,4.17
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.1,55.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921.0,0.112,13.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
