tipo_celular,module_size,NR2F1_MM,NR2F1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.072,3.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,4285.0,0.121,28.0,353,55,15.58,2.13 (1.84-2.41),298,84.42,4.34 (4.16-4.52),21.01,5.67
GABA neurons expressing GLU receptors 22,487.0,0.158,23.0,73,4,5.48,1.44 (1.34-1.53),69,94.52,2.84 (2.44-3.24),2.50,7.61
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.4,80.0,62,2,3.23,3.13 (3.13-3.13),60,96.77,4.08 (3.62-4.54),1.80,4.29
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.054,2.0,455,20,4.4,1.33 (0.92-1.73),435,95.6,4.54 (4.36-4.71),23.00,8.18
astrocytes 8,727.0,0.153,75.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.052,17.0,276,42,15.22,2.05 (1.81-2.28),234,84.78,3.91 (3.68-4.15),9.48,4.33
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,301.0,0.109,1.0,158,4,2.53,1.47 (0.66-2.28),154,97.47,4.36 (4.00-4.73),4.87,7.12
astrocytes 15,377.0,0.122,27.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,135.0,0.241,11.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.143,33.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
