tipo_celular,module_size,DPF2_MM,DPF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.135,35.0,131,6,4.58,3.54 (2.63-4.45),125,95.42,3.05 (2.76-3.33),2.91,4.84
astrocytes 5,1656.0,0.072,3.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54),8.04,4.90
oligodendrocyte progenitor cells 7,4285.0,0.118,25.0,353,94,26.63,2.73 (2.45-3.01),259,73.37,4.46 (4.26-4.65),15.59,5.33
GABA neurons expressing GLU receptors 22,487.0,0.144,18.0,73,8,10.96,2.27 (1.35-3.18),65,89.04,2.83 (2.41-3.24),2.04,7.98
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.068,5.0,133,62,46.62,2.50 (2.17-2.83),71,53.38,4.02 (3.57-4.48),5.40,3.08
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.051,2.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58),2.42,4.30
oligodendrocytes 20,403.0,0.127,51.0,18,10,55.56,0.95 (0.48-1.41),8,44.44,3.04 (2.13-3.95),4.74,2.61
GABA like neurons 14,3052.0,0.116,30.0,125,5,4.0,3.61 (2.66-4.55),120,96.0,3.34 (3.01-3.68),4.45,8.79
astrocytes 8,603.0,0.056,30.0,89,7,7.87,1.39 (0.90-1.89),82,92.13,2.93 (2.56-3.29),4.80,6.15
oligodendrocyte progenitor cells 12,1049.0,0.047,14.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,1277.0,0.02,1.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,111.0,0.362,91.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1401.0,0.01,0.0,96,10,10.42,2.67 (1.98-3.35),86,89.58,3.75 (3.25-4.25),4.75,3.69
oligodendrocytes 16,122.0,0.189,37.0,11,2,18.18,4.03 (1.81-6.25),9,81.82,3.42 (3.20-3.63),2.59,1.80
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.249,43.0,57,10,17.54,2.87 (2.36-3.37),47,82.46,2.62 (2.21-3.03),1.97,3.62
astrocytes 4,1807.0,0.131,26.0,104,29,27.88,2.03 (1.57-2.49),75,72.12,3.22 (2.91-3.54),10.47,3.44
oligodendrocytes 0,2078.0,0.116,54.0,238,24,10.08,3.06 (2.56-3.56),214,89.92,3.71 (3.47-3.95),4.84,5.04
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.069,32.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.159,84.0,154,4,2.6,3.23 (2.85-3.60),150,97.4,3.25 (2.97-3.52),2.21,3.63
