tipo_celular,module_size,PITPNA_MM,PITPNA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.215,53.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,624.0,0.14,40.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,932.0,0.124,72.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,666.0,0.125,20.0,127,7,5.51,2.44 (1.72-3.17),120,94.49,3.88 (3.54-4.23),3.65,5.97
GABA neurons expressing GLU receptors 22,714.0,0.079,3.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,1247.0,0.118,37.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853.0,0.196,82.0,133,11,8.27,1.50 (0.59-2.41),122,91.73,3.44 (3.13-3.76),6.00,4.00
GABA neurons expressing GABA receptors 13,77.0,0.199,68.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,658.0,0.129,22.0,120,1,0.83,2.00 (NA-NA),119,99.17,4.63 (4.32-4.95),1.74,3.67
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.218,86.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.121,78.0,66,9,13.64,1.08 (0.38-1.78),57,86.36,3.63 (3.24-4.02),4.26,2.74
oligodendrocyte progenitor cells 12,3303.0,0.069,38.0,276,8,2.9,1.45 (1.00-1.89),268,97.1,3.62 (3.41-3.84),14.88,4.82
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,104.0,0.294,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.09,54.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09),1.35,3.82
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.107,33.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,100.0,0.198,6.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96),NA,1.72
astrocytes 4,721.0,0.145,39.0,61,1,1.64,NA,60,98.36,2.97 (2.55-3.38),1.89,6.09
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.129,17.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
