tipo_celular,module_size,SMIM14_MM,SMIM14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.163,44.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,610,0.216,88.0,98,7,7.14,0.72 (0.28-1.15),91,92.86,3.33 (3.03-3.63),10.92,3.51
astrocytes 5,228,0.069,1.0,266,7,2.63,0.96 (0.36-1.56),259,97.37,4.23 (4.03-4.43),6.66,4.93
oligodendrocyte progenitor cells 7,4285,0.126,35.0,353,9,2.55,0.87 (0.39-1.34),344,97.45,3.99 (3.81-4.17),44.67,7.11
GABA neurons expressing GLU receptors 22,487,0.251,64.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,1316,0.113,41.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,153,0.178,32.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,238,0.219,74.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,559,0.065,8.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,228,0.148,30.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85),1.93,2.82
GABA like neurons 14,2402,0.133,19.0,455,9,1.98,1.07 (0.30-1.83),446,98.02,4.43 (4.25-4.61),41.75,8.17
astrocytes 8,727,0.094,41.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303,0.067,35.0,276,3,1.09,1.58 (0.56-2.60),273,98.91,3.57 (3.35-3.79),9.13,5.07
oligodendrocytes 10,806,0.134,41.0,261,2,0.77,2.99 (1.51-4.47),259,99.23,4.38 (4.14-4.62),6.80,6.06
connective tissue cells 21,85,0.194,8.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,261,0.089,16.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64),1.77,1.85
oligodendrocytes 16,85,0.219,53.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.187,80.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,37,0.264,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.117,5.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,309,0.103,18.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,1615,0.127,73.0,161,8,4.97,0.70 (0.32-1.07),153,95.03,3.44 (3.18-3.70),18.08,4.77
oligodendrocytes 3,639,0.057,13.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,528,0.091,3.0,175,1,0.57,3.74 (NA-NA),174,99.43,4.38 (4.03-4.74),12.59,4.57
