tipo_celular,module_size,JAKMIP2_MM,JAKMIP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,727.0,0.195,85.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1141.0,0.144,69.0,166,2,1.2,0.55 (0.54-0.55),164,98.8,3.43 (3.18-3.68),8.21,4.50
oligodendrocyte progenitor cells 7,448.0,0.114,30.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,203.0,0.091,3.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,489.0,0.186,74.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,108.0,0.539,100.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,221.0,0.313,83.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,1300.0,0.185,40.0,306,2,0.65,2.63 (1.29-3.97),304,99.35,5.12 (4.85-5.38),2.04,6.74
astrocytes 8,727.0,0.134,66.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,153.0,0.384,41.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92),1.35,2.18
oligodendrocytes 10,1277.0,0.16,77.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,126.0,0.274,50.0,7,0,0.0,NA,7,100.0,1.50 (0.53-2.48),NA,1.88
astrocytes 15,367.0,0.162,63.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,199.0,0.174,58.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,398.0,0.131,41.0,138,3,2.17,1.37 (-0.53-3.28),135,97.83,4.91 (4.55-5.28),2.40,2.74
astrocytes microglia 23,190.0,0.376,97.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,752.0,0.174,81.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186.0,0.202,99.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.142,83.0,87,4,4.6,0.89 (0.20-1.58),83,95.4,2.67 (2.40-2.94),5.85,4.16
oligodendrocytes 2,407.0,0.179,72.0,122,7,5.74,0.66 (0.23-1.09),115,94.26,3.54 (3.16-3.92),3.92,2.63
