tipo_celular,module_size,ANK3_MM,ANK3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,388.0,0.293,90.0,84,2,2.38,2.29 (2.26-2.32),82,97.62,2.99 (2.66-3.33),1.86,4.38
astrocytes 5,165.0,0.597,97.0,51,7,13.73,6.97 (5.72-8.22),44,86.27,5.10 (4.39-5.81),2.22,3.07
oligodendrocyte progenitor cells 7,229.0,0.106,14.0,45,3,6.67,NA,42,93.33,5.01 (4.39-5.62),2.21,5.58
GABA neurons expressing GLU receptors 22,459.0,0.093,16.0,165,34,20.61,3.87 (3.25-4.48),131,79.39,5.47 (5.09-5.85),4.71,3.93
GLU like neurons 17,795.0,0.172,69.0,80,14,17.5,5.22 (3.93-6.51),66,82.5,5.77 (5.34-6.20),3.19,2.98
da like neurons 11,172.0,0.369,88.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,357.0,0.22,74.0,237,14,5.91,4.35 (3.89-4.82),223,94.09,4.41 (4.16-4.66),4.49,4.16
endothelial cells 9,450.0,0.622,95.0,74,33,44.59,5.97 (5.20-6.74),41,55.41,5.08 (4.33-5.84),4.58,2.88
oligodendrocytes 20,676.0,0.383,65.0,110,45,40.91,4.73 (4.03-5.44),65,59.09,5.21 (4.64-5.78),4.63,2.76
GABA like neurons 14,1300.0,0.202,48.0,306,95,31.05,4.45 (4.00-4.90),211,68.95,5.52 (5.22-5.82),10.92,4.81
astrocytes 8,771.0,0.752,99.0,48,9,18.75,6.76 (4.72-8.79),39,81.25,3.92 (3.22-4.62),3.25,3.12
oligodendrocyte progenitor cells 12,411.0,0.129,53.0,103,23,22.33,5.55 (4.64-6.46),80,77.67,5.55 (5.12-5.97),3.86,2.86
oligodendrocytes 10,204.0,0.456,55.0,92,16,17.39,5.39 (4.28-6.50),76,82.61,5.78 (5.25-6.30),4.11,3.64
connective tissue cells 21,250.0,0.673,92.0,117,43,36.75,4.89 (4.23-5.56),74,63.25,5.74 (5.28-6.20),5.13,2.93
astrocytes 15,458.0,0.557,99.0,36,7,19.44,8.14 (7.87-8.41),29,80.56,2.61 (1.87-3.36),1.76,2.77
oligodendrocytes 16,313.0,0.201,43.0,291,43,14.78,3.99 (3.61-4.37),248,85.22,4.40 (4.14-4.67),4.49,3.70
da neurons 6,398.0,0.171,58.0,138,39,28.26,3.60 (3.05-4.16),99,71.74,5.35 (4.92-5.77),3.17,2.56
astrocytes microglia 23,54.0,0.598,91.0,29,5,17.24,5.92 (4.40-7.45),24,82.76,7.02 (6.35-7.68),2.61,2.89
astrocytes 4,102.0,0.569,97.0,42,8,19.05,6.18 (4.58-7.78),34,80.95,5.57 (4.76-6.37),1.90,3.46
oligodendrocytes 0,479.0,0.372,99.0,40,18,45.0,6.34 (5.42-7.26),22,55.0,5.44 (4.97-5.92),3.55,3.40
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.322,100.0,111,4,3.6,4.74 (2.50-6.99),107,96.4,3.26 (2.91-3.60),2.00,4.31
oligodendrocytes 2,348.0,0.422,95.0,114,40,35.09,4.98 (4.28-5.67),74,64.91,5.20 (4.68-5.71),6.73,3.13
