tipo_celular,module_size,DAB2IP_MM,DAB2IP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.142,87.0,80,6,7.5,4.32 (3.74-4.90),74,92.5,3.61 (3.16-4.05),2.40,4.46
oligodendrocyte progenitor cells 7,4285.0,0.134,48.0,353,73,20.68,2.62 (2.29-2.94),280,79.32,4.35 (4.16-4.54),14.86,6.29
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,145.0,0.141,25.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.268,69.0,120,66,55.0,4.65 (4.25-5.06),54,45.0,4.53 (4.02-5.04),3.88,3.38
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.112,21.0,74,14,18.92,2.22 (1.97-2.48),60,81.08,3.12 (2.67-3.58),3.15,12.21
astrocytes 8,1266.0,0.109,72.0,66,27,40.91,2.92 (2.29-3.56),39,59.09,3.50 (2.95-4.05),2.96,2.95
oligodendrocyte progenitor cells 12,3303.0,0.091,65.0,276,59,21.38,2.60 (2.28-2.91),217,78.62,3.88 (3.62-4.13),6.78,4.66
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,104.0,0.316,63.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,1401.0,0.158,91.0,96,16,16.67,4.30 (3.38-5.23),80,83.33,3.45 (2.95-3.96),2.41,4.08
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,114.0,0.265,26.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.163,73.0,61,5,8.2,3.38 (1.64-5.12),56,91.8,2.93 (2.50-3.35),2.80,6.31
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.179,98.0,161,60,37.27,2.37 (2.07-2.67),101,62.73,4.00 (3.67-4.34),6.68,4.69
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
