tipo_celular,module_size,TARBP1_MM,TARBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.197,44.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,610.0,0.121,25.0,98,22,22.45,1.50 (1.10-1.89),76,77.55,3.66 (3.36-3.96),5.68,3.56
astrocytes 5,499.0,0.136,34.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285.0,0.126,36.0,353,41,11.61,1.90 (1.55-2.24),312,88.39,4.24 (4.07-4.42),21.96,6.24
GABA neurons expressing GLU receptors 22,1069.0,0.274,98.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69),2.44,3.18
GLU like neurons 17,795.0,0.149,59.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,101.0,0.176,41.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,298.0,0.05,17.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,1300.0,0.212,53.0,306,5,1.63,1.12 (0.30-1.93),301,98.37,5.19 (4.94-5.45),6.40,6.71
astrocytes 8,520.0,0.026,1.0,288,2,0.69,1.88 (-0.73-4.50),286,99.31,4.19 (3.99-4.39),4.81,4.68
oligodendrocyte progenitor cells 12,3303.0,0.083,55.0,276,33,11.96,1.93 (1.63-2.24),243,88.04,3.84 (3.62-4.07),7.63,4.77
oligodendrocytes 10,2107.0,0.236,79.0,358,47,13.13,1.83 (1.50-2.16),311,86.87,4.26 (4.09-4.44),24.04,7.27
connective tissue cells 21,118.0,0.267,31.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,377.0,0.204,81.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,82.0,0.23,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,134.0,0.247,16.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55),NA,1.74
astrocytes 4,787.0,0.132,17.0,65,1,1.54,5.16 (NA-NA),64,98.46,2.92 (2.53-3.31),2.40,5.80
oligodendrocytes 0,479.0,0.129,31.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,1615.0,0.075,6.0,161,37,22.98,1.66 (1.39-1.93),124,77.02,3.90 (3.63-4.17),8.91,4.39
oligodendrocytes 3,639.0,0.127,72.0,15,5,33.33,1.25 (0.17-2.33),10,66.67,4.60 (3.05-6.16),2.91,1.87
oligodendrocytes 2,804.0,0.184,80.0,84,5,5.95,1.85 (0.75-2.94),79,94.05,2.76 (2.41-3.10),4.16,3.35
