tipo_celular,module_size,HSD17B7_MM,HSD17B7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.247,84.0,127,3,2.36,3.00 (0.45-5.54),124,97.64,3.86 (3.52-4.20),3.12,5.90
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.168,68.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2090.0,0.11,20.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.051,11.0,25,2,8.0,2.75 (-2.23-7.72),23,92.0,2.88 (1.87-3.89),1.61,2.62
oligodendrocytes 10,1277.0,0.055,14.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,92.0,0.229,60.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.447,98.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.134,88.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88),12.26,4.96
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.031,1.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.151,69.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
