tipo_celular,module_size,GRIK1_MM,GRIK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.219,88.0,219,54,24.66,4.78 (4.30-5.27),165,75.34,5.34 (5.00-5.68),6.95,3.85
GABA neurons expressing GLU receptors 22,459.0,0.41,98.0,165,50,30.3,3.89 (3.28-4.51),115,69.7,5.56 (5.19-5.93),4.97,3.71
GLU like neurons 17,795.0,0.428,99.0,80,13,16.25,4.46 (3.67-5.24),67,83.75,5.98 (5.54-6.42),3.16,2.99
da like neurons 11,191.0,0.139,23.0,93,30,32.26,4.91 (4.41-5.40),63,67.74,6.14 (5.61-6.68),4.70,3.87
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.184,39.0,306,64,20.92,3.97 (3.47-4.46),242,79.08,5.45 (5.17-5.74),9.66,5.92
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,411.0,0.46,96.0,103,24,23.3,5.11 (4.55-5.67),79,76.7,5.71 (5.22-6.19),4.27,2.72
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,37.0,0.339,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
